field	value	label	ontology	curie	iri	relation	notes
organism	Homo sapiens	Homo sapiens	ncbitaxon	NCBITaxon:9606	http://purl.obolibrary.org/obo/NCBITaxon_9606	is_a	All 120 AOIs; GEO GSE200563.
disease	nsclc	non-small cell lung carcinoma	mondo	MONDO:0005233	http://purl.obolibrary.org/obo/MONDO_0005233	is_a	The cohort's disease. 35 patients; histology subtypes are not in the GEO metadata, so nothing narrower than NSCLC is assertable here.
disease	tcga_luad	lung adenocarcinoma	mondo	MONDO:0005061	http://purl.obolibrary.org/obo/MONDO_0005061	is_a	P5-T4's EXTERNAL cohort only (TCGA-LUAD via UCSC Xena), never this study. Recorded separately because the two cohorts are not interchangeable: ADR 0027 §5 bounds the comparison structurally, and LUAD is narrower than the NSCLC above.
assay	geomx_dsp_wta	spatial transcriptomics	efo	EFO:0008994	http://www.ebi.ac.uk/efo/EFO_0008994	is_a	NanoString GeoMx DSP Whole Transcriptome Atlas. The term is the closest defensible one: this assay profiles pathologist-placed regions and carries NO coordinates, so it is spatial in the sense of "region resolved", never spot-gridded.
readout	ngs	RNA-Seq	efo	EFO:0008896	http://www.ebi.ac.uk/efo/EFO_0008896	is_a	The WTA readout is sequencing of released oligo barcodes, counted per AOI. Recorded because "spatial transcriptomics" alone does not say how the signal was measured.
specimen	ffpe	Formalin-Fixed Paraffin-Embedded	ncit	NCIT:C143028	http://purl.obolibrary.org/obo/NCIT_C143028	is_a	Archival FFPE sections; the preservation the assay was designed for.
site	lung	lung	uberon	UBERON:0002048	http://purl.obolibrary.org/obo/UBERON_0002048	is_a	45 AOIs (L 30, TIME-L 15).
site	brain	brain	uberon	UBERON:0000955	http://purl.obolibrary.org/obo/UBERON_0000955	is_a	62 AOIs (LB 27, TBME 20, TIME-B 8, BC 7).
site	lymph_node	lymph node	uberon	UBERON:0000029	http://purl.obolibrary.org/obo/UBERON_0000029	is_a	13 AOIs (mLN), out of scope for the core lung-vs-brain comparison.
compartment	tumour	neoplastic cell	cl	CL:0001063	http://purl.obolibrary.org/obo/CL_0001063	enriched_for	70 AOIs (L, LB, mLN). The PanCK-POSITIVE segment — the only compartment here that was actually collected on an antibody mask, and still an enrichment rather than a sorted population.
compartment	immune	leukocyte	cl	CL:0000738	http://purl.obolibrary.org/obo/CL_0000738	enriched_for	23 AOIs (TIME-L 15, TIME-B 8). PanCK-negative segment of an ROI sited in a CD45-rich region. NOT a CD45-sorted population, and `TIME-B` n = 8 is the binding constraint on the project.
compartment	glial_stroma	astrocyte	cl	CL:0000127	http://purl.obolibrary.org/obo/CL_0000127	enriched_for	20 AOIs (TBME). PanCK-negative segment of an ROI sited in GFAP-rich tumour-adjacent brain. NOT a GFAP-sorted population.
compartment	normal_control	brain	uberon	UBERON:0000955	http://purl.obolibrary.org/obo/UBERON_0000955	is_a	7 AOIs (BC). The ONLY compartment mapped to a tissue rather than a cell type, and deliberately: nothing was sorted, no tumour is present, and there is no cell population this control is enriched for. An honest absence beats a plausible CL term.
tumour_context	primary	Primary Neoplasm	ncit	NCIT:C8509	http://purl.obolibrary.org/obo/NCIT_C8509	is_a	The `L` and `TIME-L` AOIs — primary lung tumour and its immune compartment.
tumour_context	brain_metastasis	Metastatic Malignant Neoplasm in the Brain	ncit	NCIT:C3813	http://purl.obolibrary.org/obo/NCIT_C3813	is_a	The `LB`, `TBME` and `TIME-B` AOIs. The exact-label term; MONDO:1040026 carries the same label and either would do, and NCIT is recorded because §7.2 names it for disease-context fields.
