aoi_label	aoi_code	site	quantum	n_distinct_values	n_genes	lattice_fraction	smallest_value_implied_counts	dcc_median_counts	implied_median_counts	dcc_ratio	dcc_agrees	counts_reliable	negprobe_implied_counts	max_implied_counts
BC03	BC	brain	1.5400000000000063	361	18694	1	4.0064935064934906	45	45.090909090908909	1.002020202020198	True	True	37.396103896103746	6605.1948051947784
BC04	BC	brain	1.4000000000000057	454	18694	1	8.007142857142826	46	46.021428571428387	1.0004658385093128	True	True	35.685714285714141	8392.1428571428223
BC06	BC	brain	2.1200000000000045	337	18694	1	3.9952830188679163	30	29.962264150943334	0.99874213836477777	True	True	21.514150943396182	3681.2735849056526
BC07	BC	brain	1.0300000000000011	638	18694	1	6.0291262135922263	57	57.252427184465958	1.004428547095894	True	True	42.145631067961112	11153.398058252415
BC08	BC	brain	1.9399999999999977	310	18694	1	5.9896907216494908	37	36.94329896907221	0.99846753970465429	True	True	30.881443298969106	6153.6082474226878
BC09	BC	brain	1.4699999999999989	411	18694	1	5.9931972789115697	46	45.952380952380985	0.99896480331263005	True	True	37.659863945578259	12022.448979591845
BC10	BC	brain	1.0600000000000023	530	18694	1	9.9905660377358281	61	61.92452830188666	1.0151562016702731	True	True	46.867924528301785	9969.8113207546958
L01	L	lung	0.53000000000000114	1076	18694	1	14.981132075471667	108	108.86792452830166	1.0080363382250153	True	True	62.641509433962135	96086.792452829977
L02	L	lung	1.1099999999999994	813	18694	1	3.0000000000000018	43	43.009009009009034	1.0002095118374195	True	True	23.207207207207219	31344.14414414416
L03	L	lung	1.0999999999999943	729	18694	1	6.9818181818182179	51	50.854545454545715	0.99714795008913171	True	True	31.018181818181976	66000.000000000335
L04	L	lung	0.26999999999999957	1818	18694	1	22.814814814814852	168	168.59259259259287	1.0035273368606719	True	True	79.25925925925938	71648.148148148262
L05	L	lung	0.90000000000000568	867	18694	1	2.9999999999999813	48	49.07777777777747	1.0224537037036974	True	True	24.355555555555405	44494.444444444161
