task	stratum	gene	model	formula	term	estimate	std_error	df	ci_low	ci_high	t_value	p_raw	is_singular	n_obs	n_patient	group_reference	group_test	aoi_code_reference	aoi_code_test	n_reference	n_test	n_detected_reference	n_detected_test	detection_rate_reference	detection_rate_test	assessable_reference	assessable_test	background_reference	background_test	background_delta	gradient_direction	status	note	df_method	warnings	messages	q_bh	delta_vs_primary
P3-T3	brain	CD274	background_sensitivity	expression ~ compartment + negprobe_log2 + (1|patient_id)	immune_vs_tumour	0.0984015344558322	0.317472731897266	31.9999999996364	-0.548269258785366	0.74507232769703	0.309952712687384	0.758606519083558	TRUE	35	27	tumour	immune	LB	TIME-B	27	8	17	5	0.62962962962963	0.625	TRUE	TRUE	4.9429835981871	5.25950529449877	0.316521696311672	permissive	modelled		satterthwaite		boundary (singular) fit: see help('isSingular')	0.758606519083558	-0.123840473708494
P3-T3	brain	CD276	background_sensitivity	expression ~ compartment + negprobe_log2 + (1|patient_id)	immune_vs_tumour	0.244668213900275	0.164845287241878	11.5205973424618	-0.11616347451432	0.60549990231487	1.4842293522245	0.164585499751428	FALSE	35	27	tumour	immune	LB	TIME-B	27	8	26	8	0.962962962962963	1	TRUE	TRUE	4.9429835981871	5.25950529449877	0.316521696311672	permissive	modelled		satterthwaite			0.329170999502855	0.0858267179192426
P3-T3	brain	CD274	batch_sensitivity	expression ~ compartment + dsp_run + (1|patient_id)	immune_vs_tumour	0.218031141797402	0.301630071100461	31.9999999994038	-0.396369207417817	0.832431491012621	0.722842855163418	0.475026793376753	TRUE	35	27	tumour	immune	LB	TIME-B	27	8	17	5	0.62962962962963	0.625	TRUE	TRUE	4.9429835981871	5.25950529449877	0.316521696311672	permissive	modelled		satterthwaite		boundary (singular) fit: see help('isSingular')	0.475026793376753	-0.00421086636692433
P3-T3	brain	CD276	batch_sensitivity	expression ~ compartment + dsp_run + (1|patient_id)	immune_vs_tumour	0.161822180634321	0.151698863368807	7.96357334824468	-0.188274744500242	0.511919105768885	1.06673298033158	0.317361008569198	FALSE	35	27	tumour	immune	LB	TIME-B	27	8	26	8	0.962962962962963	1	TRUE	TRUE	4.9429835981871	5.25950529449877	0.316521696311672	permissive	modelled		satterthwaite			0.475026793376753	0.00298068465328905
P3-T3	brain	CD274	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	0.222242008164326	0.298079616858998	32.9999999993756	-0.384205532193579	0.828689548522231	0.745579353953124	0.461199538286623	TRUE	35	27	tumour	immune	LB	TIME-B	27	8	17	5	0.62962962962963	0.625	TRUE	TRUE	4.9429835981871	5.25950529449877	0.316521696311672	permissive	modelled		satterthwaite		boundary (singular) fit: see help('isSingular')	0.461199538286623	
P3-T3	brain	CD276	primary	expression ~ compartment + (1|patient_id)	immune_vs_tumour	0.158841495981032	0.151459629921865	8.04749709294495	-0.190066546990899	0.507749538952964	1.04873817573023	0.324770930586509	FALSE	35	27	tumour	immune	LB	TIME-B	27	8	26	8	0.962962962962963	1	TRUE	TRUE	4.9429835981871	5.25950529449877	0.316521696311672	permissive	modelled		satterthwaite			0.461199538286623	
P3-T3	brain	CTLA4														tumour	immune	LB	TIME-B	27	8	2	2	0.0740740740740741	0.25	FALSE	FALSE	4.9429835981871	5.25950529449877	0.316521696311672		not_assessable	not assessable in either group (LB 2/27, TIME-B 2/8)	satterthwaite				
P3-T3	brain	HAVCR2														tumour	immune	LB	TIME-B	27	8	2	7	0.0740740740740741	0.875	FALSE	TRUE	4.9429835981871	5.25950529449877	0.316521696311672		not_assessable	not assessable in LB (2/27)	satterthwaite				
P3-T3	brain	IDO1														tumour	immune	LB	TIME-B	27	8	4	2	0.148148148148148	0.25	FALSE	FALSE	4.9429835981871	5.25950529449877	0.316521696311672		not_assessable	not assessable in either group (LB 4/27, TIME-B 2/8)	satterthwaite				
P3-T3	brain	LAG3														tumour	immune	LB	TIME-B	27	8	2	3	0.0740740740740741	0.375	FALSE	FALSE	4.9429835981871	5.25950529449877	0.316521696311672		not_assessable	not assessable in either group (LB 2/27, TIME-B 3/8)	satterthwaite				
