gene	alias	aoi_label	aoi_code	q3	quantum	implied_counts	counts_reliable	n_genes_sharing_value	negprobe_implied_counts	assessable_in_compartment
CD274	PD-L1	BC03	BC	66.349999999999994	1.5400000000000063	43.084415584415403	True	501	37.396103896103746	False
CD276	B7-H3	BC03	BC	77.150000000000006	1.5400000000000063	50.0974025974024	True	355	37.396103896103746	False
CTLA4	CTLA-4	BC03	BC	44.75	1.5400000000000063	29.058441558441441	True	305	37.396103896103746	False
HAVCR2	TIM-3	BC03	BC	66.349999999999994	1.5400000000000063	43.084415584415403	True	501	37.396103896103746	False
IDO1	IDO1	BC03	BC	47.840000000000003	1.5400000000000063	31.064935064934939	True	401	37.396103896103746	False
LAG3	LAG-3	BC03	BC	49.380000000000003	1.5400000000000063	32.064935064934936	True	424	37.396103896103746	False
PDCD1	PD-1	BC03	BC	49.380000000000003	1.5400000000000063	32.064935064934936	True	424	37.396103896103746	False
TIGIT	TIGIT	BC03	BC	64.810000000000002	1.5400000000000063	42.084415584415417	True	515	37.396103896103746	False
VSIR	VISTA	BC03	BC	131.16	1.5400000000000063	85.16883116883082	True	48	37.396103896103746	True
CD274	PD-L1	BC04	BC	56.030000000000001	1.4000000000000057	40.021428571428409	True	474	35.685714285714141	False
CD276	B7-H3	BC04	BC	82.640000000000001	1.4000000000000057	59.02857142857119	True	194	35.685714285714141	False
CTLA4	CTLA-4	BC04	BC	50.420000000000002	1.4000000000000057	36.01428571428557	True	482	35.685714285714141	False
HAVCR2	TIM-3	BC04	BC	50.420000000000002	1.4000000000000057	36.01428571428557	True	482	35.685714285714141	False
IDO1	IDO1	BC04	BC	43.420000000000002	1.4000000000000057	31.014285714285588	True	388	35.685714285714141	False
LAG3	LAG-3	BC04	BC	33.619999999999997	1.4000000000000057	24.014285714285617	True	163	35.685714285714141	False
PDCD1	PD-1	BC04	BC	46.219999999999999	1.4000000000000057	33.014285714285577	True	396	35.685714285714141	False
TIGIT	TIGIT	BC04	BC	37.82	1.4000000000000057	27.014285714285606	True	234	35.685714285714141	False
VSIR	VISTA	BC04	BC	113.45	1.4000000000000057	81.035714285713965	True	72	35.685714285714141	True
CD274	PD-L1	BC06	BC	33.880000000000003	2.1200000000000045	15.981132075471665	True	327	21.514150943396182	False
CD276	B7-H3	BC06	BC	112.22	2.1200000000000045	52.933962264150829	True	118	21.514150943396182	False
CTLA4	CTLA-4	BC06	BC	52.93	2.1200000000000045	24.966981132075418	True	671	21.514150943396182	False
HAVCR2	TIM-3	BC06	BC	42.350000000000001	2.1200000000000045	19.976415094339579	True	550	21.514150943396182	False
IDO1	IDO1	BC06	BC	38.109999999999999	2.1200000000000045	17.976415094339583	True	420	21.514150943396182	False
LAG3	LAG-3	BC06	BC	29.640000000000001	2.1200000000000045	13.981132075471669	True	177	21.514150943396182	False
PDCD1	PD-1	BC06	BC	50.810000000000002	2.1200000000000045	23.966981132075421	True	663	21.514150943396182	False
TIGIT	TIGIT	BC06	BC	59.280000000000001	2.1200000000000045	27.962264150943337	True	582	21.514150943396182	False
VSIR	VISTA	BC06	BC	88.930000000000007	2.1200000000000045	41.948113207547081	True	268	21.514150943396182	True
CD274	PD-L1	BC07	BC	48.630000000000003	1.0300000000000011	47.213592233009656	True	373	42.145631067961112	False
CD276	B7-H3	BC07	BC	73.450000000000003	1.0300000000000011	71.310679611650414	True	164	42.145631067961112	False
CTLA4	CTLA-4	BC07	BC	48.630000000000003	1.0300000000000011	47.213592233009656	True	373	42.145631067961112	False
HAVCR2	TIM-3	BC07	BC	65.180000000000007	1.0300000000000011	63.281553398058186	True	187	42.145631067961112	False
IDO1	IDO1	BC07	BC	35.18	1.0300000000000011	34.155339805825207	True	234	42.145631067961112	False
LAG3	LAG-3	BC07	BC	34.140000000000001	1.0300000000000011	33.145631067961126	True	227	42.145631067961112	False
PDCD1	PD-1	BC07	BC	34.140000000000001	1.0300000000000011	33.145631067961126	True	227	42.145631067961112	False
TIGIT	TIGIT	BC07	BC	36.210000000000001	1.0300000000000011	35.155339805825207	True	245	42.145631067961112	False
VSIR	VISTA	BC07	BC	97.25	1.0300000000000011	94.417475728155239	True	83	42.145631067961112	True
CD274	PD-L1	BC08	BC	79.420000000000002	1.9399999999999977	40.938144329896957	True	481	30.881443298969106	False
CD276	B7-H3	BC08	BC	65.859999999999999	1.9399999999999977	33.948453608247462	True	664	30.881443298969106	False
CTLA4	CTLA-4	BC08	BC	65.859999999999999	1.9399999999999977	33.948453608247462	True	664	30.881443298969106	False
HAVCR2	TIM-3	BC08	BC	81.359999999999999	1.9399999999999977	41.938144329896957	True	461	30.881443298969106	False
IDO1	IDO1	BC08	BC	32.93	1.9399999999999977	16.974226804123731	True	91	30.881443298969106	False
LAG3	LAG-3	BC08	BC	61.990000000000002	1.9399999999999977	31.953608247422718	True	694	30.881443298969106	False
PDCD1	PD-1	BC08	BC	61.990000000000002	1.9399999999999977	31.953608247422718	True	694	30.881443298969106	False
TIGIT	TIGIT	BC08	BC	79.420000000000002	1.9399999999999977	40.938144329896957	True	481	30.881443298969106	False
