gene	alias	aoi_code	site	compartment	n_aoi	n_qc_flagged	n_detected	detection_rate	n_aoi_qc_clean	detection_rate_qc_clean	median_negprobe_ratio	mean_log2_all	mean_log2_detected	assessable	modelled
CD274	PD-L1	L	lung	tumour	30	0	19	0.6333333333333333	30	0.6333333333333333	2.4026019552897218	6.3235700739092389	6.4924775406075188	True	True
CD276	B7-H3	L	lung	tumour	30	0	29	0.96666666666666667	30	0.96666666666666667	5.1071056932132253	7.2229869992790672	7.2546585840193814	True	True
CTLA4	CTLA-4	L	lung	tumour	30	0	2	0.066666666666666666	30	0.066666666666666666	1.1452136420291952	5.2437509082672031	5.8949453644646219	False	True
HAVCR2	TIM-3	L	lung	tumour	30	0	2	0.066666666666666666	30	0.066666666666666666	1.4346995248184775	5.5313915724907412	6.1624595036621654	False	True
IDO1	IDO1	L	lung	tumour	30	0	9	0.29999999999999999	30	0.29999999999999999	1.3767533279728401	5.7871410656023459	7.0203701016484255	False	True
LAG3	LAG-3	L	lung	tumour	30	0	2	0.066666666666666666	30	0.066666666666666666	1.298304562829713	5.3872548154055835	6.356126353774993	False	True
PDCD1	PD-1	L	lung	tumour	30	0	12	0.40000000000000002	30	0.40000000000000002	1.9740301898890911	5.9322039097136923	6.0731302512776191	False	True
TIGIT	TIGIT	L	lung	tumour	30	0	0	0	30	0	1.2135404814304962	5.2769532039959932		False	True
VSIR	VISTA	L	lung	tumour	30	0	8	0.26666666666666666	30	0.26666666666666666	1.6642492586230246	5.7436177835999187	5.9951957144393981	False	True
CD274	PD-L1	LB	brain	tumour	27	1	17	0.62962962962962965	26	0.61538461538461542	2.174270755422588	6.3253236056252851	6.6394708182563837	True	True
CD276	B7-H3	LB	brain	tumour	27	1	26	0.96296296296296291	26	0.96153846153846156	4.6160029229082937	7.2230870833239216	7.2420639437036991	True	True
CTLA4	CTLA-4	LB	brain	tumour	27	1	2	0.07407407407407407	26	0.038461538461538464	1.0432942708333333	5.2688053189756863	6.3176845736171696	False	True
HAVCR2	TIM-3	LB	brain	tumour	27	1	2	0.07407407407407407	26	0.076923076923076927	1.377122641509434	5.526059725662221	6.1511201642540634	False	True
IDO1	IDO1	LB	brain	tumour	27	1	4	0.14814814814814814	26	0.11538461538461539	1.1896035901271504	5.5444848414155059	7.3414062180207313	False	True
LAG3	LAG-3	LB	brain	tumour	27	1	2	0.07407407407407407	26	0.038461538461538464	1.1626856036152358	5.3455000005647477	6.4768670615527277	False	True
PDCD1	PD-1	LB	brain	tumour	27	1	14	0.51851851851851849	26	0.5	2.0154516640253566	6.0373490049364511	6.1865095606108946	True	True
TIGIT	TIGIT	LB	brain	tumour	27	1	2	0.07407407407407407	26	0.038461538461538464	1.1500291885580853	5.2773334613272747	5.922315225235053	False	True
VSIR	VISTA	LB	brain	tumour	27	1	11	0.40740740740740738	26	0.38461538461538464	1.7517067912324831	6.0111936004563162	6.453584796609892	False	True
CD274	PD-L1	mLN	lymph_node	tumour	13	0	11	0.84615384615384615	13	0.84615384615384615	3.0531340805313407	6.6978912215324584	6.8074922349794065	True	False
CD276	B7-H3	mLN	lymph_node	tumour	13	0	13	1	13	1	4.2095148816498709	7.3403827187617514	7.3403827187617514	True	False
CTLA4	CTLA-4	mLN	lymph_node	tumour	13	0	4	0.30769230769230771	13	0.30769230769230771	1.3875094055680965	5.5618451798636297	6.2710944640926805	False	False
HAVCR2	TIM-3	mLN	lymph_node	tumour	13	0	5	0.38461538461538464	13	0.38461538461538464	1.8612862547288778	5.9074075756876772	6.2498672142432099	False	False
IDO1	IDO1	mLN	lymph_node	tumour	13	0	5	0.38461538461538464	13	0.38461538461538464	1.8758483033932136	5.9323047058923937	6.5924783896394867	False	False
LAG3	LAG-3	mLN	lymph_node	tumour	13	0	2	0.15384615384615385	13	0.15384615384615385	1.5282399812514644	5.6769235386118799	6.7025901015636986	False	False
PDCD1	PD-1	mLN	lymph_node	tumour	13	0	7	0.53846153846153844	13	0.53846153846153844	2.0727994705493051	5.9792501417094108	5.882248814747526	True	False
TIGIT	TIGIT	mLN	lymph_node	tumour	13	0	3	0.23076923076923078	13	0.23076923076923078	1.3517543859649122	5.5349185876143947	6.2427465356768472	False	False
VSIR	VISTA	mLN	lymph_node	tumour	13	0	6	0.46153846153846156	13	0.46153846153846156	1.9943566591422122	6.1611461551888844	6.5697701301438487	False	False
CD274	PD-L1	TBME	brain	glial_stroma	20	4	7	0.34999999999999998	16	0.4375	1.6822697166304401	6.4352484805201398	6.7563178589798607	False	False
CD276	B7-H3	TBME	brain	glial_stroma	20	4	13	0.65000000000000002	16	0.75	2.5480187274317281	7.0315545509386297	7.2489786081710665	True	False
CTLA4	CTLA-4	TBME	brain	glial_stroma	20	4	3	0.14999999999999999	16	0.125	1.1858541293359284	6.0530561233618148	6.4034841620251663	False	False
HAVCR2	TIM-3	TBME	brain	glial_stroma	20	4	5	0.25	16	0.3125	1.4239894796310899	6.3166690470684639	6.6549842117326037	False	False
IDO1	IDO1	TBME	brain	glial_stroma	20	4	0	0	16	0	0.99168406126631092	5.8401291508341613		False	False
LAG3	LAG-3	TBME	brain	glial_stroma	20	4	2	0.10000000000000001	16	0.125	1.1961598527033519	5.9371213975920423	6.7906460211564568	False	False
PDCD1	PD-1	TBME	brain	glial_stroma	20	4	6	0.29999999999999999	16	0.375	1.4329222351355839	6.2116180888569712	6.5888496887580148	False	False
TIGIT	TIGIT	TBME	brain	glial_stroma	20	4	1	0.050000000000000003	16	0.0625	1.1251903691381728	5.9309406279414878	5.9066501263953795	False	False
VSIR	VISTA	TBME	brain	glial_stroma	20	4	12	0.59999999999999998	16	0.75	2.1153286250138725	6.7774915218323546	6.9564529867666387	True	False
