compartment	gene	patient_id	lung	brain	delta_brain_minus_lung	detected_lung	detected_brain
immune	CD274	P12	7.2010343879156977	7.0285691521967708	-0.17246523571892691	True	True
immune	CD274	P15	6.8260399588961933	6.3664970757745296	-0.45954288312166369	True	True
immune	CD274	P19	6.8977244702164437	6.3066997072727871	-0.59102476294365669	True	False
immune	CD274	P35	7.1756243966864206	7.2368752453669396	0.061250848680518999	True	True
immune	CD274	P5	6.0507193477512642	6.6163282875514513	0.56560893980018712	False	True
immune	CD276	P12	7.097339727601927	7.2767757978925358	0.17943607029060882	True	True
immune	CD276	P15	7.5004834014731152	7.2212004175056341	-0.27928298396748108	True	True
immune	CD276	P19	7.2623767777635244	7.0767087267932993	-0.1856680509702251	True	True
immune	CD276	P35	6.8648051942415043	6.5825560030140613	-0.28224919122744296	True	True
immune	CD276	P5	7.4796994385134683	7.2433644256936605	-0.23633501281980784	True	True
immune	CTLA4	P12	7.0208516042994376	6.6801836815924895	-0.34066792270694801	True	True
immune	CTLA4	P15	6.6829945836816833	6.2709026491671329	-0.4120919345145504	True	True
immune	CTLA4	P19	7.0078682433333395	6.3529703382459335	-0.65489790508740597	True	False
immune	CTLA4	P35	6.4682574683231415	6.1534000277350609	-0.31485744058808063	False	False
immune	CTLA4	P5	6.2556895552206262	6.0027025203798239	-0.25298703484080232	False	False
immune	HAVCR2	P12	6.9641413344666852	6.3494360517138233	-0.61470528275286185	True	True
immune	HAVCR2	P15	5.4976123656183598	6.4563133413551821	0.95870097573682234	False	True
immune	HAVCR2	P19	6.4085420422968582	6.8266755913869304	0.41813354909007217	True	True
immune	HAVCR2	P35	6.3494360517138233	6.299574370608874	-0.049861681104949263	False	True
immune	HAVCR2	P5	6.5527459367484457	6.5050969750343981	-0.047648961714047644	True	True
immune	IDO1	P12	7.404152874923442	6.0006761048507196	-1.4034767700727224	True	True
immune	IDO1	P15	6.1143670249520001	5.328046556270742	-0.78632046868125816	True	False
immune	IDO1	P19	7.2952638453639702	6.1757241853802798	-1.1195396599836904	True	False
immune	IDO1	P35	6.8648051942415043	5.2828104395725584	-1.5819947546689459	True	False
immune	IDO1	P5	5.8354188404754801	5.8288346494680559	-0.0065841910074242449	False	False
immune	LAG3	P12	6.8341145101901137	6.0774566524005875	-0.75665785778952621	True	True
immune	LAG3	P15	6.4708621994137019	6.0351839966183363	-0.43567820279536562	True	False
immune	LAG3	P19	6.3045110418099535	5.7615512324444795	-0.54295980936547394	False	False
immune	LAG3	P35	6.6300850700021243	5.9907280037189743	-0.63935706628315003	False	False
immune	LAG3	P5	5.9471985842620558	6.3419857472286161	0.39478716296656025	False	True
immune	PDCD1	P12	6.5267674107674249	6.2197493545467255	-0.30701805622069944	True	True
immune	PDCD1	P15	6.4377936779252805	6.6358994659463812	0.19810578802110079	True	True
immune	PDCD1	P19	6.3258900610397841	6.3529703382459335	0.027080277206149361	False	False
immune	PDCD1	P35	6.7286008106431927	6.6657622665083469	-0.062838544134845797	True	True
immune	PDCD1	P5	5.9471985842620558	6.2528546259513904	0.30565604168933458	False	False
immune	TIGIT	P12	6.6909595881207391	6.0006761048507196	-0.69028348327001954	True	True
immune	TIGIT	P15	6.692371399708664	5.8622033990532243	-0.83016800065543972	True	False
immune	TIGIT	P19	6.5055734002820182	5.9736112755194721	-0.53196212476254612	True	False
immune	TIGIT	P35	5.919578445935473	5.8073549220576037	-0.11222352387786927	False	False
immune	TIGIT	P5	6.1475102249202784	6.0298945496633385	-0.11761567525693994	False	False
immune	VSIR	P12	7.2016711196732759	7.1402674062502163	-0.061403713423059614	True	True
