task	stratum	gene	model	formula	term	estimate	std_error	df	ci_low	ci_high	t_value	p_raw	is_singular	n_obs	n_patient	group_reference	group_test	aoi_code_reference	aoi_code_test	n_reference	n_test	n_detected_reference	n_detected_test	detection_rate_reference	detection_rate_test	assessable_reference	assessable_test	background_reference	background_test	background_delta	gradient_direction	status	note	df_method	warnings	messages	in_primary	delta_vs_primary
P3-T4	immune	CD274	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	-0.247224423588862	0.135278948353243	11.1056382736217	-0.544626198906895	0.0501773517291717	-1.8275158596244	0.0945910279330993	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	13	5	0.866666666666667	0.625	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			TRUE	0.013244933285745
P3-T4	immune	CD276	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	0.0666242343254774	0.135227850804105	12.095987764634	-0.227752835273291	0.361001303924246	0.492681307358728	0.631059464629905	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	15	8	1	1	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			TRUE	-0.00586213313124624
P3-T4	immune	CTLA4	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	-0.528344590096501	0.119355216654938	14.6574725294204	-0.783262985341161	-0.273426194851841	-4.42665687268594	0.000516743163329287	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	10	2	0.666666666666667	0.25	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			FALSE	0.0232601591237339
P3-T4	immune	HAVCR2	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	0.178454855308528	0.208365631012838	19.9999999998684	-0.256188234650922	0.613097945267978	0.856450530930088	0.401894053877424	TRUE	23	16	lung	brain	TIME-L	TIME-B	15	8	10	7	0.666666666666667	0.875	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite		boundary (singular) fit: see help('isSingular')	TRUE	-0.00157284577577335
P3-T4	immune	IDO1	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	-0.589629252547117	0.292922327536792	7.77558662770132	-1.26851784969209	0.0892593445978525	-2.01292013997485	0.0799464018441111	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	8	2	0.533333333333333	0.25	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			FALSE	0.0374610998265108
P3-T4	immune	PDCD1	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	-0.0480551751154394	0.0907529864659794	10.4279749314606	-0.249146148764509	0.15303579853363	-0.529516184389743	0.60753569345891	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	8	3	0.533333333333333	0.375	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			FALSE	0.00724107978409923
P3-T4	immune	TIGIT	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	-0.507009800660065	0.118504227779944	8.4983283517635	-0.777516779612266	-0.236502821707863	-4.2784110757766	0.00234381578797324	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	8	1	0.533333333333333	0.125	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			FALSE	0.00794059195236962
P3-T4	immune	VSIR	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	0.0518677021470496	0.140139048151686	10.6887659212147	-0.2576755765982	0.3614109808923	0.370115987165178	0.718524973117192	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	14	7	0.933333333333333	0.875	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			TRUE	-0.0976700224930458
P3-T4	immune	CD274	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.232174843184306	0.151808236052706	11.4109538278822	-0.564840233523374	0.100490547154763	-1.52939556654685	0.153402823761505	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	13	5	0.866666666666667	0.625	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			TRUE	0.0282945136903009
P3-T4	immune	CD276	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	0.0538277500240461	0.134971147966843	11.0236078271895	-0.243164142399504	0.350819642447596	0.398809307284468	0.697650332164717	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	15	8	1	1	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	exploratory		satterthwaite			TRUE	-0.0186586174326775
