task	stratum	gene	model	formula	term	estimate	std_error	df	ci_low	ci_high	t_value	p_raw	is_singular	n_obs	n_patient	group_reference	group_test	aoi_code_reference	aoi_code_test	n_reference	n_test	n_detected_reference	n_detected_test	detection_rate_reference	detection_rate_test	assessable_reference	assessable_test	background_reference	background_test	background_delta	gradient_direction	status	note	df_method	warnings	messages	q_bh	delta_vs_primary
P3-T4	immune	CD274	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	-0.247224423588862	0.135278948353243	11.1056382736217	-0.544626198906895	0.0501773517291717	-1.8275158596244	0.0945910279330993	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	13	5	0.866666666666667	0.625	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite			0.378364111732397	0.013244933285745
P3-T4	immune	CD276	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	0.0666242343254774	0.135227850804105	12.095987764634	-0.227752835273291	0.361001303924246	0.492681307358728	0.631059464629905	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	15	8	1	1	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite			0.718524973117192	-0.00586213313124624
P3-T4	immune	HAVCR2	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	0.178454855308528	0.208365631012838	19.9999999998684	-0.256188234650922	0.613097945267978	0.856450530930088	0.401894053877424	TRUE	23	16	lung	brain	TIME-L	TIME-B	15	8	10	7	0.666666666666667	0.875	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite		boundary (singular) fit: see help('isSingular')	0.718524973117192	-0.00157284577577335
P3-T4	immune	VSIR	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	0.0518677021470496	0.140139048151686	10.6887659212147	-0.2576755765982	0.3614109808923	0.370115987165178	0.718524973117192	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	14	7	0.933333333333333	0.875	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite			0.718524973117192	-0.0976700224930458
P3-T4	immune	CD274	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.232174843184306	0.151808236052706	11.4109538278822	-0.564840233523374	0.100490547154763	-1.52939556654685	0.153402823761505	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	13	5	0.866666666666667	0.625	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite			0.537115341064933	0.0282945136903009
P3-T4	immune	CD276	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	0.0538277500240461	0.134971147966843	11.0236078271895	-0.243164142399504	0.350819642447596	0.398809307284468	0.697650332164717	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	15	8	1	1	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite			0.697650332164717	-0.0186586174326775
P3-T4	immune	HAVCR2	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	0.179309224538894	0.209790517622642	19.9999999996	-0.258306126805483	0.616924575883271	0.854706049495643	0.4028365057987	TRUE	23	16	lung	brain	TIME-L	TIME-B	15	8	10	7	0.666666666666667	0.875	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite		boundary (singular) fit: see help('isSingular')	0.537115341064933	-0.000718476545407021
P3-T4	immune	VSIR	batch_sensitivity	expression ~ site + dsp_run + (1|patient_id)	brain_vs_lung	0.146476033543631	0.124107729125859	5.94206937606754	-0.157923755761948	0.45087582284921	1.18023296836805	0.282988122979318	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	14	7	0.933333333333333	0.875	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite			0.537115341064933	-0.00306169109646448
P3-T4	immune	CD274	primary	expression ~ site + (1|patient_id)	brain_vs_lung	-0.260469356874607	0.152795723056328	11.3647106699646	-0.595458410813061	0.0745196970638476	-1.7046901029984	0.11540597618525	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	13	5	0.866666666666667	0.625	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite			0.461623904741	
P3-T4	immune	CD276	primary	expression ~ site + (1|patient_id)	brain_vs_lung	0.0724863674567237	0.132743672800466	11.9923847282112	-0.216757620757658	0.361730355671106	0.546062693064713	0.595035645329442	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	15	8	1	1	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite			0.595035645329442	
P3-T4	immune	HAVCR2	primary	expression ~ site + (1|patient_id)	brain_vs_lung	0.180027701084301	0.202420851610728	20.9999999998539	-0.240929504387115	0.600984906555718	0.88937330147444	0.383877623827154	TRUE	23	16	lung	brain	TIME-L	TIME-B	15	8	10	7	0.666666666666667	0.875	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite		boundary (singular) fit: see help('isSingular')	0.511836831769539	
P3-T4	immune	VSIR	primary	expression ~ site + (1|patient_id)	brain_vs_lung	0.149537724640095	0.12169480998318	6.65957650142586	-0.141233743649648	0.440309192929838	1.22879295066703	0.260794762757068	FALSE	23	16	lung	brain	TIME-L	TIME-B	15	8	14	7	0.933333333333333	0.875	TRUE	TRUE	5.32300971061281	5.25950529449877	-0.0635044161140401	negligible	modelled		satterthwaite			0.511836831769539	
P3-T4	immune	CTLA4														lung	brain	TIME-L	TIME-B	15	8	10	2	0.666666666666667	0.25	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401		not_assessable	not assessable in TIME-B (2/8)	satterthwaite				
P3-T4	immune	IDO1														lung	brain	TIME-L	TIME-B	15	8	8	2	0.533333333333333	0.25	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401		not_assessable	not assessable in TIME-B (2/8)	satterthwaite				
P3-T4	immune	LAG3														lung	brain	TIME-L	TIME-B	15	8	6	3	0.4	0.375	FALSE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401		not_assessable	not assessable in either group (TIME-L 6/15, TIME-B 3/8)	satterthwaite				
P3-T4	immune	PDCD1														lung	brain	TIME-L	TIME-B	15	8	8	3	0.533333333333333	0.375	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401		not_assessable	not assessable in TIME-B (3/8)	satterthwaite				
P3-T4	immune	TIGIT														lung	brain	TIME-L	TIME-B	15	8	8	1	0.533333333333333	0.125	TRUE	FALSE	5.32300971061281	5.25950529449877	-0.0635044161140401		not_assessable	not assessable in TIME-B (1/8)	satterthwaite				
P3-T4	tumour	CD274	background_sensitivity	expression ~ site + negprobe_log2 + (1|patient_id)	brain_vs_lung	0.000257973482935562	0.143615307453079	31.24949065999	-0.292552624668848	0.293068571634719	0.00179628124265127	0.998578194024559	FALSE	57	34	lung	brain	L	LB	30	27	19	17	0.633333333333333	0.62962962962963	TRUE	TRUE	4.91207571629686	4.9429835981871	0.0309078818902453	negligible	modelled		satterthwaite			0.998578194024559	-0.0232004624845087
