k	factor	ari	ari_null_mean	ari_null_p95	same_cluster_rate	same_cluster_rate_baseline	n_same_level_pairs
2	compartment	0.39099128	0.0014476726	0.067213825	0.94755123	0.68753501	2879
2	site	0.014521019	0.0015523892	0.051002693	0.69685705	0.68753501	2959
2	patient	0.0024976744	0.00021113021	0.0041677382	0.72611465	0.68753501	157
3	compartment	0.36346335	-0.0013612816	0.061358937	0.90031261	0.66092437	2879
3	site	0.012915876	0.00079104248	0.046500099	0.66914498	0.66092437	2959
3	patient	0.0026710568	0.00011561559	0.0039776948	0.70063694	0.66092437	157
4	compartment	0.33659813	0.001170217	0.065753401	0.85446336	0.63487395	2879
4	site	0.015748023	-0.001160441	0.038801367	0.64481244	0.63487395	2959
4	patient	0.002371501	8.8980408e-05	0.0041752489	0.66878981	0.63487395	157
5	compartment	0.33629772	0.0053490839	0.086071574	0.85411601	0.63473389	2879
5	site	0.01597068	0.002221046	0.041301068	0.64481244	0.63473389	2959
5	patient	0.0019363365	0.00021461541	0.0046091247	0.66242038	0.63473389	157
6	compartment	0.73711787	-0.00069189404	0.052387924	0.80965613	0.37478992	2879
6	site	0.029848838	-0.0017725299	0.02938059	0.39202433	0.37478992	2959
6	patient	-0.0035664482	0.00013477856	0.0067822554	0.34394904	0.37478992	157
7	compartment	0.74141541	-0.0027892768	0.049134037	0.80757207	0.37086835	2879
7	site	0.030244736	-0.00031911353	0.037336932	0.38830686	0.37086835	2959
7	patient	-0.003143951	-0.00027251187	0.0080144912	0.34394904	0.37086835	157
8	compartment	0.70275028	0.00083412119	0.049483893	0.76450156	0.3535014	2879
8	site	0.030073533	-0.00044273015	0.033022534	0.37073336	0.3535014	2959
8	patient	-0.0011670969	0.00077453688	0.0089496324	0.34394904	0.3535014	157
9	compartment	0.66480401	0.00060761221	0.049430807	0.72282042	0.33669468	2879
9	site	0.033657584	-0.0018926615	0.030868631	0.35586347	0.33669468	2959
9	patient	0.00092774475	0.00014168301	0.0082588905	0.34394904	0.33669468	157
10	compartment	0.67176646	0.00017250062	0.048841508	0.72247308	0.33291317	2879
10	site	0.031439558	0.0021153503	0.038094697	0.35079419	0.33291317	2959
10	patient	-0.00022010354	-0.00015836155	0.0080121607	0.33121019	0.33291317	157
