rank	interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	table	n	rho	abs_rho	p_raw	n_detected_both	frac_detected_both	rho_detected_only	p_detected_only	delta_vs_primary	sensitivity_status	ligand_detection	receptor_detection	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
1	SEMA4C_PLXNB2	SEMA4C - PLXNB2	SEMA4	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	SEMA4C	PLXNB2	SEMA4C	PLXNB2	LB	TIME-B	primary	8	-0.9523809523809524	0.9523809523809524	0.0002604000243872511	7	0.875	-0.9285714285714288	0.002519472403794688	0.023809523809523614	fitted	SEMA4C:19/27	PLXNB2:8/8		True	True	PMID: 27533782
2	COL1A2_CD44	COL1A2 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL1A2	CD44	COL1A2	CD44	LB	TIME-B	primary	8	0.9285714285714287	0.9285714285714287	0.0008629681828999772	8	1.0	0.9285714285714287	0.0008629681828999772	0.0	fitted	COL1A2:27/27	CD44:8/8	secreted	False	True	KEGG: hsa04512
3	HSPG2_DAG1	HSPG2 - DAG1	HSPG	ECM-Receptor	brain	ligand_tumour__receptor_immune	HSPG2	DAG1	HSPG2	DAG1	LB	TIME-B	primary	8	-0.880952380952381	0.880952380952381	0.0038503204637324023	4	0.5				below_min_n (4 < 6)	HSPG2:24/27	DAG1:4/8			True	KEGG: hsa04512
4	ICAM1_SPN	ICAM1 - SPN	ICAM	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	ICAM1	SPN	ICAM1	SPN	LB	TIME-B	primary	8	0.8571428571428572	0.8571428571428572	0.006530017254715293	6	0.75	0.8285714285714287	0.04156268221574335	-0.02857142857142847	fitted	ICAM1:22/27	SPN:6/8		True	True	PMID: 1683685
5	CEACAM1_CEACAM5	CEACAM1 - CEACAM5	CEACAM	Cell-Cell Contact	brain	ligand_immune__receptor_tumour	CEACAM1	CEACAM5	CEACAM1	CEACAM5	TIME-B	LB	primary	8	0.8571428571428572	0.8571428571428572	0.006530017254715293	8	1.0	0.8571428571428572	0.006530017254715293	0.0	fitted	CEACAM1:8/8	CEACAM5:22/27	secreted	True	True	PMID: 11590190
6	CEACAM1_CEACAM5	CEACAM1 - CEACAM5	CEACAM	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	CEACAM1	CEACAM5	CEACAM1	CEACAM5	LB	TIME-B	primary	8	0.8571428571428572	0.8571428571428572	0.006530017254715293	6	0.75	0.8857142857142858	0.01884548104956266	0.02857142857142858	fitted	CEACAM1:26/27	CEACAM5:6/8	secreted	True	True	PMID: 11590190
7	TNC_SDC1	TNC - SDC1	TENASCIN	ECM-Receptor	brain	ligand_immune__receptor_tumour	TNC	SDC1	TNC	SDC1	TIME-B	LB	primary	8	-0.8333333333333335	0.8333333333333335	0.010175540123456757	8	1.0	-0.8333333333333335	0.010175540123456757	0.0	fitted	TNC:8/8	SDC1:25/27	secreted	False	True	KEGG: hsa04512
8	COL6A1_SDC4	COL6A1 - SDC4	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL6A1	SDC4	COL6A1	SDC4	LB	TIME-B	primary	8	0.8095238095238096	0.8095238095238096	0.01490266768623008	5	0.625				below_min_n (5 < 6)	COL6A1:27/27	SDC4:5/8	secreted	False		KEGG: hsa04512
9	COL1A1_CD44	COL1A1 - CD44	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL1A1	CD44	COL1A1	CD44	LB	TIME-B	primary	8	0.8095238095238096	0.8095238095238096	0.01490266768623008	8	1.0	0.8095238095238096	0.01490266768623008	0.0	fitted	COL1A1:25/27	CD44:8/8	secreted	False	True	KEGG: hsa04512
10	APP_CD74	APP - CD74	APP	Cell-Cell Contact	brain	ligand_tumour__receptor_immune	APP	CD74	APP	CD74	LB	TIME-B	primary	8	0.8095238095238096	0.8095238095238096	0.01490266768623008	8	1.0	0.8095238095238096	0.01490266768623008	0.0	fitted	APP:26/27	CD74:8/8		True	True	PMID: 19849849
11	ANGPTL4_SDC3	ANGPTL4 - SDC3	ANGPTL	Secreted Signaling	brain	ligand_immune__receptor_tumour	ANGPTL4	SDC3	ANGPTL4	SDC3	TIME-B	LB	primary	8	0.7619047619047621	0.7619047619047621	0.028004939153071815	4	0.5				below_min_n (4 < 6)	ANGPTL4:4/8	SDC3:15/27				PMID: 29017031
12	CEACAM1_CEACAM5	CEACAM1 - CEACAM5	CEACAM	Cell-Cell Contact	lung	ligand_tumour__receptor_immune	CEACAM1	CEACAM5	CEACAM1	CEACAM5	L	TIME-L	primary	13	0.7417582417582418	0.7417582417582418	0.003701313735752629	9	0.6923076923076923	0.7333333333333334	0.024554150071469705	-0.008424908424908395	fitted	CEACAM1:29/30	CEACAM5:10/15	secreted	True	True	PMID: 11590190
13	COL9A2_CD44	COL9A2 - CD44	COLLAGEN	ECM-Receptor	lung	ligand_tumour__receptor_immune	COL9A2	CD44	COL9A2	CD44	L	TIME-L	primary	13	-0.7417582417582418	0.7417582417582418	0.003701313735752629	9	0.6923076923076923	-0.8499999999999999	0.0037047773275858125	-0.10824175824175808	fitted	COL9A2:25/30	CD44:15/15	secreted	False	True	KEGG: hsa04512
