rank	interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	table	n	rho	abs_rho	p_raw	n_detected_both	frac_detected_both	rho_detected_only	p_detected_only	delta_vs_primary	sensitivity_status	ligand_detection	receptor_detection	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
1	COL6A2_ITGA3_ITGB1	COL6A2 - (ITGA3+ITGB1)	COLLAGEN	ECM-Receptor	brain	ligand_immune__receptor_tumour	COL6A2	ITGA3_ITGB1	COL6A2	ITGA3;ITGB1	TIME-B	LB	exploratory	8	0.8095238095238096	0.8095238095238096	0.01490266768623008	8	1.0	0.8095238095238096	0.01490266768623008	0.0	fitted	COL6A2:8/8	ITGA3:26/27;ITGB1:26/27	secreted	False	True	KEGG: hsa04512
2	TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB1	TGFbR1_R2	TGFB1	TGFBR1;TGFBR2	L	TIME-L	exploratory	13	0.7912087912087913	0.7912087912087913	0.001275023901741119	7	0.5384615384615384	0.642857142857143	0.11939237342741099	-0.14835164835164827	fitted	TGFB1:27/30	TGFBR1:10/15;TGFBR2:15/15	growth factor	False	True	KEGG: hsa04350
3	TGFB1_ACVR1_TGFBR1	TGFB1 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB1	ACVR1_TGFbR	TGFB1	ACVR1;TGFBR1;TGFBR2	L	TIME-L	exploratory	13	0.7857142857142857	0.7857142857142857	0.0014541896038438229	6	0.46153846153846156	0.7714285714285715	0.07239650145772594	-0.014285714285714235	fitted	TGFB1:27/30	ACVR1:9/15;TGFBR1:10/15;TGFBR2:15/15	growth factor	False	True	PMID: 29376829
4	LAMA3_ITGA3_ITGB1	LAMA3 - (ITGA3+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMA3	ITGA3_ITGB1	LAMA3	ITGA3;ITGB1	LB	TIME-B	exploratory	8	0.7380952380952381	0.7380952380952381	0.03655276105286082	4	0.5				below_min_n (4 < 6)	LAMA3:20/27	ITGA3:6/8;ITGB1:8/8	secreted	False	True	KEGG: hsa04512
5	LAMC2_ITGA3_ITGB1	LAMC2 - (ITGA3+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMC2	ITGA3_ITGB1	LAMC2	ITGA3;ITGB1	LB	TIME-B	exploratory	8	0.7142857142857144	0.7142857142857144	0.046528232284167276	6	0.75	0.5428571428571429	0.26570262390670546	-0.17142857142857149	fitted	LAMC2:22/27	ITGA3:6/8;ITGB1:8/8			True	KEGG: hsa04512
6	LAMC1_ITGA6_ITGB1	LAMC1 - (ITGA6+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMC1	ITGA6_ITGB1	LAMC1	ITGA6;ITGB1	LB	TIME-B	exploratory	8	0.7142857142857144	0.7142857142857144	0.046528232284167276	7	0.875	0.6785714285714287	0.0937502539598313	-0.0357142857142857	fitted	LAMC1:26/27	ITGA6:7/8;ITGB1:8/8	secreted	False	True	KEGG: hsa04512
7	LAMC2_ITGA7_ITGB1	LAMC2 - (ITGA7+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMC2	ITGA7_ITGB1	LAMC2	ITGA7;ITGB1	LB	TIME-B	exploratory	8	0.7142857142857144	0.7142857142857144	0.046528232284167276	4	0.5				below_min_n (4 < 6)	LAMC2:22/27	ITGA7:4/8;ITGB1:8/8			True	KEGG: hsa04512
8	LAMB3_ITGA3_ITGB1	LAMB3 - (ITGA3+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMB3	ITGA3_ITGB1	LAMB3	ITGA3;ITGB1	LB	TIME-B	exploratory	8	0.6904761904761906	0.6904761904761906	0.05799031816457273	5	0.625				below_min_n (5 < 6)	LAMB3:22/27	ITGA3:6/8;ITGB1:8/8			True	KEGG: hsa04512
9	COL4A1_ITGA1_ITGB1	COL4A1 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	brain	ligand_tumour__receptor_immune	COL4A1	ITGA1_ITGB1	COL4A1	ITGA1;ITGB1	LB	TIME-B	exploratory	8	0.6904761904761906	0.6904761904761906	0.05799031816457273	4	0.5				below_min_n (4 < 6)	COL4A1:15/27	ITGA1:5/8;ITGB1:8/8	secreted	False	True	KEGG: hsa04512
10	LAMA3_ITGA6_ITGB4	LAMA3 - (ITGA6+ITGB4)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMA3	ITGA6_ITGB4	LAMA3	ITGA6;ITGB4	LB	TIME-B	exploratory	8	0.6904761904761906	0.6904761904761906	0.05799031816457273	4	0.5				below_min_n (4 < 6)	LAMA3:20/27	ITGA6:7/8;ITGB4:6/8	secreted	False	True	KEGG: hsa04512
11	LAMA4_ITGA2_ITGB1	LAMA4 - (ITGA2+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_immune__receptor_tumour	LAMA4	ITGA2_ITGB1	LAMA4	ITGA2;ITGB1	TIME-B	LB	exploratory	8	-0.670670706671425	0.670670706671425	0.06869274160506	4	0.5				below_min_n (4 < 6)	LAMA4:7/8	ITGA2:15/27;ITGB1:26/27			True	KEGG: hsa04512
12	LAMC2_ITGA6_ITGB4	LAMC2 - (ITGA6+ITGB4)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMC2	ITGA6_ITGB4	LAMC2	ITGA6;ITGB4	LB	TIME-B	exploratory	8	0.6666666666666669	0.6666666666666669	0.07098765432098757	5	0.625				below_min_n (5 < 6)	LAMC2:22/27	ITGA6:7/8;ITGB4:6/8			True	KEGG: hsa04512
13	LAMC2_ITGA6_ITGB1	LAMC2 - (ITGA6+ITGB1)	LAMININ	ECM-Receptor	brain	ligand_tumour__receptor_immune	LAMC2	ITGA6_ITGB1	LAMC2	ITGA6;ITGB1	LB	TIME-B	exploratory	8	0.6666666666666669	0.6666666666666669	0.07098765432098757	7	0.875	0.642857142857143	0.11939237342741099	-0.023809523809523836	fitted	LAMC2:22/27	ITGA6:7/8;ITGB1:8/8			True	KEGG: hsa04512
14	THBS3_ITGA3_ITGB1	THBS3 - (ITGA3+ITGB1)	THBS	ECM-Receptor	brain	ligand_tumour__receptor_immune	THBS3	ITGA3_ITGB1	THBS3	ITGA3;ITGB1	LB	TIME-B	exploratory	8	-0.6666666666666669	0.6666666666666669	0.07098765432098757	6	0.75	-0.2571428571428572	0.6227871720116619	0.4095238095238097	fitted	THBS3:27/27	ITGA3:6/8;ITGB1:8/8			True	KEGG: hsa04512
15	FN1_ITGAV_ITGB6	FN1 - (ITGAV+ITGB6)	FN1	ECM-Receptor	lung	ligand_immune__receptor_tumour	FN1	ITGAV_ITGB6	FN1	ITGAV;ITGB6	TIME-L	L	exploratory	13	0.6538461538461539	0.6538461538461539	0.015348516732105471	7	0.5384615384615384	0.5	0.25316999510032256	-0.15384615384615385	fitted	FN1:15/15	ITGAV:30/30;ITGB6:19/30	secreted	False	True	KEGG: hsa04512
16	THBS2_ITGA3_ITGB1	THBS2 - (ITGA3+ITGB1)	THBS	ECM-Receptor	brain	ligand_immune__receptor_tumour	THBS2	ITGA3_ITGB1	THBS2	ITGA3;ITGB1	TIME-B	LB	exploratory	8	0.6428571428571429	0.6428571428571429	0.08555889101267328	8	1.0	0.6428571428571429	0.08555889101267328	0.0	fitted	THBS2:8/8	ITGA3:26/27;ITGB1:26/27		False	True	KEGG: hsa04512
