site	side	patient_id	aoi_code	aoi_labels	n_aoi	gene	expression	detected	n_aoi_detected	negprobe_log2	gene_detection_rate	collapse_rule
brain	tumour	P5	LB	LB05	1	ACVR1	5.892148127513825	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ACVR1B	6.377470842849648	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ADGRA2	4.740387932468353	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ADGRE2	7.5241107030566585	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ADGRE5	8.001802242633985	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ADGRG1	7.539546580238411	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ADGRG6	6.49281457256712	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	AGRN	9.494695609435908	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ALCAM	8.134683004687556	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ANGPTL2	5.1147834472498515	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ANGPTL4	7.891844446993856	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ANXA1	10.798714794961366	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	APP	10.06177619758669	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	AXL	6.599764103072517	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	BSG	10.164781250902196	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	BTC	6.1945598860226125	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	C3	9.139755975481314	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	C3AR1	5.713145902490259	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CCL3	6.49281457256712	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CCR1	5.307064162255372	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD22	7.377297306427848	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD274	5.843230150496545	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD4	5.843230150496545	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD44	8.90080644290863	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD46	7.76633013095037	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD47	7.621612353024317	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD55	7.984988018635179	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD6	5.0298945496633385	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD74	9.6888272717647	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD8A	5.072963271555224	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD96	5.155425431747197	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD99	8.04023491675437	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CD99L2	5.194953795933835	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CDH1	8.930382532861941	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CDH11	5.377470842849648	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CDH5	4.93969674069176	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CEACAM1	8.124534928529522	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CEACAM5	7.554819050604949	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CHRNB4	6.114367024952	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CHRNE	5.411426245726465	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	COL1A1	8.274960472140602	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	COL1A2	8.500642736062806	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	COL3A1	7.607034345948616	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	COL4A1	6.411426245726465	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	COL4A2	6.02945288578697	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	COL4A5	7.402841532551294	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	COL6A1	9.05639385872348	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	COL6A2	8.27956415407728	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	COL6A3	6.114367024952	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	COL9A2	6.007419783571914	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	COMP	5.342696959981934	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CSF1	5.233044401265581	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CSF1R	5.072963271555224	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CSPG4	5.892148127513825	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CTLA4	5.072963271555224	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CXCL1	5.444600813711502	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CXCL12	6.915759896038	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CXCL2	5.599912842187128	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CXCL8	5.1147834472498515	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CXCR2	5.818134760810847	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	CXCR4	6.855366852658264	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	DAG1	7.093496794891906	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	DLL3	5.79259510251225	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	DSC3	7.184677020680892	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	DSG2	8.56989357349038	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	EFNA1	6.377470842849648	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	EGFR	9.23285259178037	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	EPHA2	7.270435500556735	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	EPHA4	5.539779191698494	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ERBB2	7.213833283099293	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	F11R	8.129643645628482	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	FGF21	6.508587112089476	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	FGFR1	5.818134760810847	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	FLT1	4.93969674069176	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	FN1	9.721321387655946	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	FPR1	5.342696959981934	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	FPR3	5.377470842849648	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	FZD1	6.1945598860226125	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	FZD6	6.476867688933087	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	GAS6	6.360188670062712	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	GDF15	4.570462931026041	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	GJA1	7.144862142915734	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	GP6	7.0403445232152695	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	GRN	8.864526654798436	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	GZMA	5.194953795933835	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-A	10.818582177480858	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-B	11.760096169244092	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-C	9.514359006889105	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-DMA	6.134836993449116	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-DMB	6.539624121559054	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-DOA	5.155425431747197	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-DOB	5.1147834472498515	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-DPA1	7.232948499710663	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-DPB1	6.377470842849648	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-DQA1	6.307064162255372	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-DQA2	4.740387932468353	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-DQB1	7.792334805706692	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-DRA	8.06177619758669	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-DRB1	9.498649787768413	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-E	9.903791486223376	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-F	6.685519721504086	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HLA-G	5.629065137092279	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	HSPG2	6.915759896038	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ICAM1	7.02945288578697	True	1	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ICOS	4.792855352362489	False	0	4.737145919776202	0.484808	mean_log2
brain	tumour	P5	LB	LB05	1	ICOSLG	5.599912842187128	False	0	4.737145919776202	0.484808	mean_log2
