comparator_pair	comparator_reported	comparator_citation	comparator_source	comparator_assay	comparator_database	comparator_tissue	ligand	receptor	site	direction	ligand_on_panel	receptor_on_panel	in_our_database	db_ligand	db_receptor	orientation_matches_comparator	rho	empirical_fdr	n	n_detected_both	ligand_detection	receptor_detection	concordance	is_validation	status
VEGFA-NRP1	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	VEGFA	NRP1	brain	ligand_tumour__receptor_immune	True	True	False										not_assessable	False	not_in_database
VEGFA-NRP1	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	VEGFA	NRP1	brain	ligand_immune__receptor_tumour	True	True	False										not_assessable	False	not_in_database
VEGFA-NRP1	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	VEGFA	NRP1	lung	ligand_tumour__receptor_immune	True	True	False										not_assessable	False	not_in_database
VEGFA-NRP1	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	VEGFA	NRP1	lung	ligand_immune__receptor_tumour	True	True	False										not_assessable	False	not_in_database
NECTIN2-TIGIT	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	NECTIN2	TIGIT	brain	ligand_tumour__receptor_immune	True	True	True	NECTIN2	TIGIT	True					NECTIN2:25/27	TIGIT:1/8	not_assessable	False	below_detection_floor
NECTIN2-TIGIT	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	NECTIN2	TIGIT	brain	ligand_immune__receptor_tumour	True	True	True	NECTIN2	TIGIT	True					NECTIN2:8/8	TIGIT:2/27	not_assessable	False	below_detection_floor
NECTIN2-TIGIT	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	NECTIN2	TIGIT	lung	ligand_tumour__receptor_immune	True	True	True	NECTIN2	TIGIT	True	0.26373626373626374	0.8745535483870968	13	6	NECTIN2:28/30	TIGIT:8/15	not_recovered	False	evaluable
NECTIN2-TIGIT	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	NECTIN2	TIGIT	lung	ligand_immune__receptor_tumour	True	True	True	NECTIN2	TIGIT	True					NECTIN2:13/15	TIGIT:0/30	not_assessable	False	below_detection_floor
LGALS9-HAVCR2	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	LGALS9	HAVCR2	brain	ligand_tumour__receptor_immune	False	True	True										not_assessable	False	not_on_panel
LGALS9-HAVCR2	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	LGALS9	HAVCR2	brain	ligand_immune__receptor_tumour	False	True	True										not_assessable	False	not_on_panel
LGALS9-HAVCR2	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	LGALS9	HAVCR2	lung	ligand_tumour__receptor_immune	False	True	True										not_assessable	False	not_on_panel
LGALS9-HAVCR2	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	LGALS9	HAVCR2	lung	ligand_immune__receptor_tumour	False	True	True										not_assessable	False	not_on_panel
CD96-NECTIN1	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	CD96	NECTIN1	brain	ligand_tumour__receptor_immune	True	True	True	CD96	NECTIN1	True					CD96:1/27	NECTIN1:3/8	not_assessable	False	below_detection_floor
CD96-NECTIN1	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	CD96	NECTIN1	brain	ligand_immune__receptor_tumour	True	True	True	CD96	NECTIN1	True					CD96:4/8	NECTIN1:12/27	not_assessable	False	below_detection_floor
CD96-NECTIN1	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	CD96	NECTIN1	lung	ligand_tumour__receptor_immune	True	True	True	CD96	NECTIN1	True					CD96:3/30	NECTIN1:3/15	not_assessable	False	below_detection_floor
CD96-NECTIN1	enriched_in_tumour	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	CD96	NECTIN1	lung	ligand_immune__receptor_tumour	True	True	True	CD96	NECTIN1	True	0.005494505494505494	0.9954902621722848	13	3	CD96:9/15	NECTIN1:21/30	not_recovered	False	evaluable
CD274-PDCD1	not_enriched	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	CD274	PDCD1	brain	ligand_tumour__receptor_immune	True	True	True	CD274	PDCD1	True					CD274:17/27	PDCD1:3/8	not_assessable	False	below_detection_floor
CD274-PDCD1	not_enriched	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	CD274	PDCD1	brain	ligand_immune__receptor_tumour	True	True	True	CD274	PDCD1	True	-0.6666666666666669	0.8447691489361702	8	2	CD274:5/8	PDCD1:14/27	agrees	False	evaluable
CD274-PDCD1	not_enriched	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	CD274	PDCD1	lung	ligand_tumour__receptor_immune	True	True	True	CD274	PDCD1	True	0.22527472527472525	0.8745535483870968	13	4	CD274:19/30	PDCD1:8/15	agrees	False	evaluable
CD274-PDCD1	not_enriched	De Zuani et al. 2024, Nat Commun 15:4388	PMID:38782901	10x Visium, co-expression within a spot; tumour vs background section	CellPhoneDB	primary lung (LUAD/LUSC), treatment-naive; NO brain metastasis arm	CD274	PDCD1	lung	ligand_immune__receptor_tumour	True	True	True	CD274	PDCD1	True					CD274:13/15	PDCD1:12/30	not_assessable	False	below_detection_floor
