interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	is_one_to_one	table	ligand_on_panel	receptor_on_panel	ligand_detection	receptor_detection	ligand_min_detection_rate	receptor_min_detection_rate	admitted	status	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB1	TGFbR1_R2	TGFB1	TGFBR1;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB1:27/30	TGFBR1:10/15;TGFBR2:15/15	0.9	0.6666666666666666	True	admitted	growth factor	False	True	KEGG: hsa04350
TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB1	ACVR1B_TGFbR2	TGFB1	ACVR1B;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB1:22/27	ACVR1B:6/8;TGFBR2:8/8	0.8148148148148148	0.75	True	admitted	growth factor	False	True	PMID: 27449815
TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB1	ACVR1B_TGFbR2	TGFB1	ACVR1B;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB1:8/8	ACVR1B:25/27;TGFBR2:23/27	1.0	0.8518518518518519	True	admitted	growth factor	False	True	PMID: 27449815
TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB1	ACVR1B_TGFbR2	TGFB1	ACVR1B;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB1:27/30	ACVR1B:8/15;TGFBR2:15/15	0.9	0.5333333333333333	True	admitted	growth factor	False	True	PMID: 27449815
TGFB1_ACVR1B_TGFBR2	TGFB1 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB1	ACVR1B_TGFbR2	TGFB1	ACVR1B;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB1:15/15	ACVR1B:29/30;TGFBR2:28/30	1.0	0.9333333333333333	True	admitted	growth factor	False	True	PMID: 27449815
TGFB3_ACVR1B_TGFBR2	TGFB3 - (ACVR1B+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB3	ACVR1B_TGFbR2	TGFB3	ACVR1B;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB3:5/8	ACVR1B:25/27;TGFBR2:23/27	0.625	0.8518518518518519	True	admitted	cytokine;growth factor	True	True	PMID: 27449815
TGFB1_ACVR1_TGFBR1	TGFB1 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB1	ACVR1_TGFbR	TGFB1	ACVR1;TGFBR1;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB1:27/30	ACVR1:9/15;TGFBR1:10/15;TGFBR2:15/15	0.9	0.6	True	admitted	growth factor	False	True	PMID: 29376829
WNT10A_FZD1_LRP5	WNT10A - (FZD1+LRP5)	WNT	Secreted Signaling	lung	ligand_immune__receptor_tumour	WNT10A	FZD1_LRP5	WNT10A	FZD1;LRP5	TIME-L	L	False	exploratory	True	True	WNT10A:9/15	FZD1:16/30;LRP5:29/30	0.6	0.5333333333333333	True	admitted	secreted	False	True	KEGG: hsa04310; PMID: 23209147
WNT10A_FZD6_LRP5	WNT10A - (FZD6+LRP5)	WNT	Secreted Signaling	brain	ligand_immune__receptor_tumour	WNT10A	FZD6_LRP5	WNT10A	FZD6;LRP5	TIME-B	LB	False	exploratory	True	True	WNT10A:4/8	FZD6:20/27;LRP5:23/27	0.5	0.7407407407407407	True	admitted	secreted	False	True	KEGG: hsa04310; PMID: 23209147
WNT10A_FZD6_LRP5	WNT10A - (FZD6+LRP5)	WNT	Secreted Signaling	lung	ligand_immune__receptor_tumour	WNT10A	FZD6_LRP5	WNT10A	FZD6;LRP5	TIME-L	L	False	exploratory	True	True	WNT10A:9/15	FZD6:26/30;LRP5:29/30	0.6	0.8666666666666667	True	admitted	secreted	False	True	KEGG: hsa04310; PMID: 23209147
WNT3_FZD6_LRP5	WNT3 - (FZD6+LRP5)	WNT	Secreted Signaling	brain	ligand_immune__receptor_tumour	WNT3	FZD6_LRP5	WNT3	FZD6;LRP5	TIME-B	LB	False	exploratory	True	True	WNT3:5/8	FZD6:20/27;LRP5:23/27	0.625	0.7407407407407407	True	admitted	cellsignal_wnt	False	True	KEGG: hsa04310; PMID: 23209147
WNT8A_FZD1_LRP5	WNT8A - (FZD1+LRP5)	WNT	Secreted Signaling	lung	ligand_immune__receptor_tumour	WNT8A	FZD1_LRP5	WNT8A	FZD1;LRP5	TIME-L	L	False	exploratory	True	True	WNT8A:15/15	FZD1:16/30;LRP5:29/30	1.0	0.5333333333333333	True	admitted	cellsignal_wnt	False	True	KEGG: hsa04310; PMID: 23209147
WNT8A_FZD6_LRP5	WNT8A - (FZD6+LRP5)	WNT	Secreted Signaling	brain	ligand_immune__receptor_tumour	WNT8A	FZD6_LRP5	WNT8A	FZD6;LRP5	TIME-B	LB	False	exploratory	True	True	WNT8A:7/8	FZD6:20/27;LRP5:23/27	0.875	0.7407407407407407	True	admitted	cellsignal_wnt	False	True	KEGG: hsa04310; PMID: 23209147
WNT8A_FZD6_LRP5	WNT8A - (FZD6+LRP5)	WNT	Secreted Signaling	lung	ligand_immune__receptor_tumour	WNT8A	FZD6_LRP5	WNT8A	FZD6;LRP5	TIME-L	L	False	exploratory	True	True	WNT8A:15/15	FZD6:26/30;LRP5:29/30	1.0	0.8666666666666667	True	admitted	cellsignal_wnt	False	True	KEGG: hsa04310; PMID: 23209147
WNT10A_FZD1_LRP6	WNT10A - (FZD1+LRP6)	WNT	Secreted Signaling	lung	ligand_immune__receptor_tumour	WNT10A	FZD1_LRP6	WNT10A	FZD1;LRP6	TIME-L	L	False	exploratory	True	True	WNT10A:9/15	FZD1:16/30;LRP6:24/30	0.6	0.5333333333333333	True	admitted	secreted	False	True	KEGG: hsa04310; PMID: 23209147
WNT10A_FZD6_LRP6	WNT10A - (FZD6+LRP6)	WNT	Secreted Signaling	brain	ligand_immune__receptor_tumour	WNT10A	FZD6_LRP6	WNT10A	FZD6;LRP6	TIME-B	LB	False	exploratory	True	True	WNT10A:4/8	FZD6:20/27;LRP6:21/27	0.5	0.7407407407407407	True	admitted	secreted	False	True	KEGG: hsa04310; PMID: 23209147
WNT10A_FZD6_LRP6	WNT10A - (FZD6+LRP6)	WNT	Secreted Signaling	lung	ligand_immune__receptor_tumour	WNT10A	FZD6_LRP6	WNT10A	FZD6;LRP6	TIME-L	L	False	exploratory	True	True	WNT10A:9/15	FZD6:26/30;LRP6:24/30	0.6	0.8	True	admitted	secreted	False	True	KEGG: hsa04310; PMID: 23209147
WNT3_FZD6_LRP6	WNT3 - (FZD6+LRP6)	WNT	Secreted Signaling	brain	ligand_immune__receptor_tumour	WNT3	FZD6_LRP6	WNT3	FZD6;LRP6	TIME-B	LB	False	exploratory	True	True	WNT3:5/8	FZD6:20/27;LRP6:21/27	0.625	0.7407407407407407	True	admitted	cellsignal_wnt	False	True	KEGG: hsa04310; PMID: 23209147
WNT8A_FZD1_LRP6	WNT8A - (FZD1+LRP6)	WNT	Secreted Signaling	lung	ligand_immune__receptor_tumour	WNT8A	FZD1_LRP6	WNT8A	FZD1;LRP6	TIME-L	L	False	exploratory	True	True	WNT8A:15/15	FZD1:16/30;LRP6:24/30	1.0	0.5333333333333333	True	admitted	cellsignal_wnt	False	True	KEGG: hsa04310; PMID: 23209147
WNT8A_FZD6_LRP6	WNT8A - (FZD6+LRP6)	WNT	Secreted Signaling	brain	ligand_immune__receptor_tumour	WNT8A	FZD6_LRP6	WNT8A	FZD6;LRP6	TIME-B	LB	False	exploratory	True	True	WNT8A:7/8	FZD6:20/27;LRP6:21/27	0.875	0.7407407407407407	True	admitted	cellsignal_wnt	False	True	KEGG: hsa04310; PMID: 23209147
WNT8A_FZD6_LRP6	WNT8A - (FZD6+LRP6)	WNT	Secreted Signaling	lung	ligand_immune__receptor_tumour	WNT8A	FZD6_LRP6	WNT8A	FZD6;LRP6	TIME-L	L	False	exploratory	True	True	WNT8A:15/15	FZD6:26/30;LRP6:24/30	1.0	0.8	True	admitted	cellsignal_wnt	False	True	KEGG: hsa04310; PMID: 23209147
BTC_EGFR_ERBB2	BTC - (EGFR+ERBB2)	EGF	Secreted Signaling	brain	ligand_immune__receptor_tumour	BTC	EGFR_ERBB2	BTC	EGFR;ERBB2	TIME-B	LB	False	exploratory	True	True	BTC:6/8	EGFR:19/27;ERBB2:24/27	0.75	0.7037037037037037	True	admitted	growth factor	True	True	KEGG: hsa04012
BTC_EGFR_ERBB2	BTC - (EGFR+ERBB2)	EGF	Secreted Signaling	lung	ligand_immune__receptor_tumour	BTC	EGFR_ERBB2	BTC	EGFR;ERBB2	TIME-L	L	False	exploratory	True	True	BTC:14/15	EGFR:25/30;ERBB2:28/30	0.9333333333333333	0.8333333333333334	True	admitted	growth factor	True	True	KEGG: hsa04012
VEGFA_VEGFR1R2	VEGFA - VEGFR1R2	VEGF	Secreted Signaling	brain	ligand_tumour__receptor_immune	VEGFA	FLT1_KDR	VEGFA	FLT1;KDR	LB	TIME-B	False	exploratory	True	True	VEGFA:26/27	FLT1:5/8;KDR:5/8	0.9629629629629629	0.625	True	admitted	growth factor	False	True	PMID: 16633338
IGF1_ITGA6_ITGB4	IGF1 - (ITGA6+ITGB4)	IGF	Secreted Signaling	brain	ligand_immune__receptor_tumour	IGF1	ITGA6_ITGB4	IGF1	ITGA6;ITGB4	TIME-B	LB	False	exploratory	True	True	IGF1:5/8	ITGA6:15/27;ITGB4:22/27	0.625	0.5555555555555556	True	admitted	growth factor	False	True	PMID: 28190785; PMID: 28873464
IGF2_ITGA6_ITGB4	IGF2 - (ITGA6+ITGB4)	IGF	Secreted Signaling	brain	ligand_immune__receptor_tumour	IGF2	ITGA6_ITGB4	IGF2	ITGA6;ITGB4	TIME-B	LB	False	exploratory	True	True	IGF2:4/8	ITGA6:15/27;ITGB4:22/27	0.5	0.5555555555555556	True	admitted	growth factor;hormone	False	True	PMID: 28190785; PMID: 28873464
MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	brain	ligand_tumour__receptor_immune	MIF	CD74_CXCR4	MIF	CD74;CXCR4	LB	TIME-B	False	exploratory	True	True	MIF:27/27	CD74:8/8;CXCR4:8/8	1.0	1.0	True	admitted			True	PMID: 29637711; PMID: 24760155
MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	brain	ligand_immune__receptor_tumour	MIF	CD74_CXCR4	MIF	CD74;CXCR4	TIME-B	LB	False	exploratory	True	True	MIF:8/8	CD74:26/27;CXCR4:27/27	1.0	0.9629629629629629	True	admitted			True	PMID: 29637711; PMID: 24760155
MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	lung	ligand_tumour__receptor_immune	MIF	CD74_CXCR4	MIF	CD74;CXCR4	L	TIME-L	False	exploratory	True	True	MIF:30/30	CD74:15/15;CXCR4:15/15	1.0	1.0	True	admitted			True	PMID: 29637711; PMID: 24760155
MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	lung	ligand_immune__receptor_tumour	MIF	CD74_CXCR4	MIF	CD74;CXCR4	TIME-L	L	False	exploratory	True	True	MIF:15/15	CD74:30/30;CXCR4:30/30	1.0	1.0	True	admitted			True	PMID: 29637711; PMID: 24760155
MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	brain	ligand_tumour__receptor_immune	MIF	CD74_CD44	MIF	CD74;CD44	LB	TIME-B	False	exploratory	True	True	MIF:27/27	CD74:8/8;CD44:8/8	1.0	1.0	True	admitted			True	PMID: 29637711; PMID: 26175090
MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	brain	ligand_immune__receptor_tumour	MIF	CD74_CD44	MIF	CD74;CD44	TIME-B	LB	False	exploratory	True	True	MIF:8/8	CD74:26/27;CD44:25/27	1.0	0.9259259259259259	True	admitted			True	PMID: 29637711; PMID: 26175090
MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	lung	ligand_tumour__receptor_immune	MIF	CD74_CD44	MIF	CD74;CD44	L	TIME-L	False	exploratory	True	True	MIF:30/30	CD74:15/15;CD44:15/15	1.0	1.0	True	admitted			True	PMID: 29637711; PMID: 26175090
MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	lung	ligand_immune__receptor_tumour	MIF	CD74_CD44	MIF	CD74;CD44	TIME-L	L	False	exploratory	True	True	MIF:15/15	CD74:30/30;CD44:29/30	1.0	0.9666666666666667	True	admitted			True	PMID: 29637711; PMID: 26175090
MIF_CD74_CXCR2	MIF - (CD74+CXCR2)	MIF	Secreted Signaling	lung	ligand_tumour__receptor_immune	MIF	CD74_CXCR2	MIF	CD74;CXCR2	L	TIME-L	False	exploratory	True	True	MIF:30/30	CD74:15/15;CXCR2:11/15	1.0	0.7333333333333333	True	admitted			True	PMID: 29637711; PMID: 26175090
IFNA4_IFNAR1_IFNAR2	IFNA4 - (IFNAR1+IFNAR2)	IFN-I	Secreted Signaling	brain	ligand_immune__receptor_tumour	IFNA4	IFNAR1_IFNAR2	IFNA4	IFNAR1;IFNAR2	TIME-B	LB	False	exploratory	True	True	IFNA4:5/8	IFNAR1:23/27;IFNAR2:23/27	0.625	0.8518518518518519	True	admitted	cytokine	False	True	KEGG: hsa04060
IFNA4_IFNAR1_IFNAR2	IFNA4 - (IFNAR1+IFNAR2)	IFN-I	Secreted Signaling	lung	ligand_tumour__receptor_immune	IFNA4	IFNAR1_IFNAR2	IFNA4	IFNAR1;IFNAR2	L	TIME-L	False	exploratory	True	True	IFNA4:15/30	IFNAR1:11/15;IFNAR2:15/15	0.5	0.7333333333333333	True	admitted	cytokine	False	True	KEGG: hsa04060
IFNA4_IFNAR1_IFNAR2	IFNA4 - (IFNAR1+IFNAR2)	IFN-I	Secreted Signaling	lung	ligand_immune__receptor_tumour	IFNA4	IFNAR1_IFNAR2	IFNA4	IFNAR1;IFNAR2	TIME-L	L	False	exploratory	True	True	IFNA4:12/15	IFNAR1:19/30;IFNAR2:30/30	0.8	0.6333333333333333	True	admitted	cytokine	False	True	KEGG: hsa04060
IFNA10_IFNAR1_IFNAR2	IFNA10 - (IFNAR1+IFNAR2)	IFN-I	Secreted Signaling	lung	ligand_immune__receptor_tumour	IFNA13	IFNAR1_IFNAR2	IFNA13	IFNAR1;IFNAR2	TIME-L	L	False	exploratory	True	True	IFNA13:8/15	IFNAR1:19/30;IFNAR2:30/30	0.5333333333333333	0.6333333333333333	True	admitted			True	KEGG: hsa04060
