interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	is_one_to_one	table	ligand_on_panel	receptor_on_panel	ligand_detection	receptor_detection	ligand_min_detection_rate	receptor_min_detection_rate	admitted	status	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
GDF15_TGFBR2	GDF15 - TGFBR2	GDF	Secreted Signaling	brain	ligand_tumour__receptor_immune	GDF15	TGFBR2	GDF15	TGFBR2	LB	TIME-B	True	primary	True	True	GDF15:20/27	TGFBR2:8/8	0.7407407407407407	1.0	True	admitted			True	KEGG: hsa04350
GDF15_TGFBR2	GDF15 - TGFBR2	GDF	Secreted Signaling	lung	ligand_tumour__receptor_immune	GDF15	TGFBR2	GDF15	TGFBR2	L	TIME-L	True	primary	True	True	GDF15:22/30	TGFBR2:15/15	0.7333333333333333	1.0	True	admitted			True	KEGG: hsa04350
BTC_EGFR	BTC - EGFR	EGF	Secreted Signaling	brain	ligand_immune__receptor_tumour	BTC	EGFR	BTC	EGFR	TIME-B	LB	True	primary	True	True	BTC:6/8	EGFR:19/27	0.75	0.7037037037037037	True	admitted	growth factor	True	True	KEGG: hsa04012
BTC_EGFR	BTC - EGFR	EGF	Secreted Signaling	lung	ligand_immune__receptor_tumour	BTC	EGFR	BTC	EGFR	TIME-L	L	True	primary	True	True	BTC:14/15	EGFR:25/30	0.9333333333333333	0.8333333333333334	True	admitted	growth factor	True	True	KEGG: hsa04012
FGF21_FGFR1	FGF21 - FGFR1	FGF	Secreted Signaling	lung	ligand_tumour__receptor_immune	FGF21	FGFR1	FGF21	FGFR1	L	TIME-L	True	primary	True	True	FGF21:28/30	FGFR1:11/15	0.9333333333333333	0.7333333333333333	True	admitted	growth factor	False	True	PMC: 4393358
VEGFA_VEGFR1	VEGFA - VEGFR1	VEGF	Secreted Signaling	brain	ligand_tumour__receptor_immune	VEGFA	FLT1	VEGFA	FLT1	LB	TIME-B	True	primary	True	True	VEGFA:26/27	FLT1:5/8	0.9629629629629629	0.625	True	admitted	growth factor	False	True	KEGG: hsa04370; PMID: 16633338
VEGFA_VEGFR2	VEGFA - VEGFR2	VEGF	Secreted Signaling	brain	ligand_tumour__receptor_immune	VEGFA	KDR	VEGFA	KDR	LB	TIME-B	True	primary	True	True	VEGFA:26/27	KDR:5/8	0.9629629629629629	0.625	True	admitted	growth factor	False	True	KEGG: hsa04370; PMID: 16633338
VEGFB_VEGFR1	VEGFB - VEGFR1	VEGF	Secreted Signaling	brain	ligand_tumour__receptor_immune	VEGFB	FLT1	VEGFB	FLT1	LB	TIME-B	True	primary	True	True	VEGFB:25/27	FLT1:5/8	0.9259259259259259	0.625	True	admitted	growth factor	False	True	KEGG: hsa04370; PMID: 16633338
IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	brain	ligand_immune__receptor_tumour	IGF1	IGF1R	IGF1	IGF1R	TIME-B	LB	True	primary	True	True	IGF1:5/8	IGF1R:25/27	0.625	0.9259259259259259	True	admitted	growth factor	False	True	PMID: 14604834
IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	lung	ligand_tumour__receptor_immune	IGF1	IGF1R	IGF1	IGF1R	L	TIME-L	True	primary	True	True	IGF1:17/30	IGF1R:12/15	0.5666666666666667	0.8	True	admitted	growth factor	False	True	PMID: 14604834
IGF1_IGF1R	IGF1 - IGF1R	IGF	Secreted Signaling	lung	ligand_immune__receptor_tumour	IGF1	IGF1R	IGF1	IGF1R	TIME-L	L	True	primary	True	True	IGF1:13/15	IGF1R:27/30	0.8666666666666667	0.9	True	admitted	growth factor	False	True	PMID: 14604834
IGF2_IGF1R	IGF2 - IGF1R	IGF	Secreted Signaling	brain	ligand_immune__receptor_tumour	IGF2	IGF1R	IGF2	IGF1R	TIME-B	LB	True	primary	True	True	IGF2:4/8	IGF1R:25/27	0.5	0.9259259259259259	True	admitted	growth factor;hormone	False	True	PMID: 14604834
IGF2_IGF2R	IGF2 - IGF2R	IGF	Secreted Signaling	brain	ligand_immune__receptor_tumour	IGF2	IGF2R	IGF2	IGF2R	TIME-B	LB	True	primary	True	True	IGF2:4/8	IGF2R:26/27	0.5	0.9629629629629629	True	admitted	growth factor;hormone	False	True	PMID: 14604834
CCL3_CCR1	CCL3 - CCR1	CCL	Secreted Signaling	brain	ligand_tumour__receptor_immune	CCL3	CCR1	CCL3	CCR1	LB	TIME-B	True	primary	True	True	CCL3:20/27	CCR1:4/8	0.7407407407407407	0.5	True	admitted	cytokine	False	True	KEGG: hsa04060
CCL3_CCR1	CCL3 - CCR1	CCL	Secreted Signaling	lung	ligand_tumour__receptor_immune	CCL3	CCR1	CCL3	CCR1	L	TIME-L	True	primary	True	True	CCL3:28/30	CCR1:12/15	0.9333333333333333	0.8	True	admitted	cytokine	False	True	KEGG: hsa04060
CXCL1_CXCR2	CXCL1 - CXCR2	CXCL	Secreted Signaling	lung	ligand_tumour__receptor_immune	CXCL1	CXCR2	CXCL1	CXCR2	L	TIME-L	True	primary	True	True	CXCL1:15/30	CXCR2:11/15	0.5	0.7333333333333333	True	admitted	cytokine;growth factor	False	True	KEGG: hsa04060
