interaction_name	pathway_name	ligand	receptor	annotation	interaction_name_2	evidence	is_one_to_one	ligand_is_complex	receptor_is_complex	ligand_subunits	receptor_subunits	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	receptor_surfaceome_main	receptor_adhesome	is_neurotransmitter
TGFB1_TGFBR1_TGFBR2	TGFb	TGFB1	TGFbR1_R2	Secreted Signaling	TGFB1 - (TGFBR1+TGFBR2)	KEGG: hsa04350	FALSE	FALSE	TRUE	TGFB1	TGFBR1;TGFBR2	growth factor	FALSE	TRUE	Receptors		FALSE
TGFB2_TGFBR1_TGFBR2	TGFb	TGFB2	TGFbR1_R2	Secreted Signaling	TGFB2 - (TGFBR1+TGFBR2)	KEGG: hsa04350	FALSE	FALSE	TRUE	TGFB2	TGFBR1;TGFBR2	growth factor	FALSE	TRUE	Receptors		FALSE
TGFB3_TGFBR1_TGFBR2	TGFb	TGFB3	TGFbR1_R2	Secreted Signaling	TGFB3 - (TGFBR1+TGFBR2)	KEGG: hsa04350	FALSE	FALSE	TRUE	TGFB3	TGFBR1;TGFBR2	cytokine;growth factor	TRUE	TRUE	Receptors		FALSE
TGFB1_ACVR1B_TGFBR2	TGFb	TGFB1	ACVR1B_TGFbR2	Secreted Signaling	TGFB1 - (ACVR1B+TGFBR2)	PMID: 27449815	FALSE	FALSE	TRUE	TGFB1	ACVR1B;TGFBR2	growth factor	FALSE	TRUE	Receptors		FALSE
TGFB1_ACVR1C_TGFBR2	TGFb	TGFB1	ACVR1C_TGFbR2	Secreted Signaling	TGFB1 - (ACVR1C+TGFBR2)	PMID: 27449815	FALSE	FALSE	TRUE	TGFB1	ACVR1C;TGFBR2	growth factor	FALSE	TRUE	Receptors		FALSE
TGFB2_ACVR1B_TGFBR2	TGFb	TGFB2	ACVR1B_TGFbR2	Secreted Signaling	TGFB2 - (ACVR1B+TGFBR2)	PMID: 27449815	FALSE	FALSE	TRUE	TGFB2	ACVR1B;TGFBR2	growth factor	FALSE	TRUE	Receptors		FALSE
TGFB2_ACVR1C_TGFBR2	TGFb	TGFB2	ACVR1C_TGFbR2	Secreted Signaling	TGFB2 - (ACVR1C+TGFBR2)	PMID: 27449815	FALSE	FALSE	TRUE	TGFB2	ACVR1C;TGFBR2	growth factor	FALSE	TRUE	Receptors		FALSE
TGFB3_ACVR1B_TGFBR2	TGFb	TGFB3	ACVR1B_TGFbR2	Secreted Signaling	TGFB3 - (ACVR1B+TGFBR2)	PMID: 27449815	FALSE	FALSE	TRUE	TGFB3	ACVR1B;TGFBR2	cytokine;growth factor	TRUE	TRUE	Receptors		FALSE
TGFB3_ACVR1C_TGFBR2	TGFb	TGFB3	ACVR1C_TGFbR2	Secreted Signaling	TGFB3 - (ACVR1C+TGFBR2)	PMID: 27449815	FALSE	FALSE	TRUE	TGFB3	ACVR1C;TGFBR2	cytokine;growth factor	TRUE	TRUE	Receptors		FALSE
TGFB1_ACVR1_TGFBR1	TGFb	TGFB1	ACVR1_TGFbR	Secreted Signaling	TGFB1 - (ACVR1+TGFBR1)	PMID: 29376829	FALSE	FALSE	TRUE	TGFB1	ACVR1;TGFBR1;TGFBR2	growth factor	FALSE	TRUE	Receptors		FALSE
