interaction_name	interaction_name_2	pathway_name	annotation	site	direction	ligand	receptor	ligand_subunits	receptor_subunits	ligand_aoi_code	receptor_aoi_code	is_one_to_one	table	ligand_on_panel	receptor_on_panel	ligand_detection	receptor_detection	ligand_min_detection_rate	receptor_min_detection_rate	admitted	status	ligand_secreted_type	ligand_transmembrane	receptor_transmembrane	evidence
TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB1	TGFbR1_R2	TGFB1	TGFBR1;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB1:22/27	TGFBR1:2/8;TGFBR2:8/8	0.8148148148148148	0.25	False	below_detection_floor	growth factor	False	True	KEGG: hsa04350
TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB1	TGFbR1_R2	TGFB1	TGFBR1;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB1:8/8	TGFBR1:10/27;TGFBR2:23/27	1.0	0.37037037037037035	False	below_detection_floor	growth factor	False	True	KEGG: hsa04350
TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB1	TGFbR1_R2	TGFB1	TGFBR1;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB1:27/30	TGFBR1:10/15;TGFBR2:15/15	0.9	0.6666666666666666	True	admitted	growth factor	False	True	KEGG: hsa04350
TGFB1_TGFBR1_TGFBR2	TGFB1 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB1	TGFbR1_R2	TGFB1	TGFBR1;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB1:15/15	TGFBR1:11/30;TGFBR2:28/30	1.0	0.36666666666666664	False	below_detection_floor	growth factor	False	True	KEGG: hsa04350
TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB2	TGFbR1_R2	TGFB2	TGFBR1;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB2:8/27	TGFBR1:2/8;TGFBR2:8/8	0.2962962962962963	0.25	False	below_detection_floor	growth factor	False	True	KEGG: hsa04350
TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB2	TGFbR1_R2	TGFB2	TGFBR1;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB2:1/8	TGFBR1:10/27;TGFBR2:23/27	0.125	0.37037037037037035	False	below_detection_floor	growth factor	False	True	KEGG: hsa04350
TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_tumour__receptor_immune	TGFB2	TGFbR1_R2	TGFB2	TGFBR1;TGFBR2	L	TIME-L	False	exploratory	True	True	TGFB2:8/30	TGFBR1:10/15;TGFBR2:15/15	0.26666666666666666	0.6666666666666666	False	below_detection_floor	growth factor	False	True	KEGG: hsa04350
TGFB2_TGFBR1_TGFBR2	TGFB2 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	lung	ligand_immune__receptor_tumour	TGFB2	TGFbR1_R2	TGFB2	TGFBR1;TGFBR2	TIME-L	L	False	exploratory	True	True	TGFB2:0/15	TGFBR1:11/30;TGFBR2:28/30	0.0	0.36666666666666664	False	below_detection_floor	growth factor	False	True	KEGG: hsa04350
TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_tumour__receptor_immune	TGFB3	TGFbR1_R2	TGFB3	TGFBR1;TGFBR2	LB	TIME-B	False	exploratory	True	True	TGFB3:2/27	TGFBR1:2/8;TGFBR2:8/8	0.07407407407407407	0.25	False	below_detection_floor	cytokine;growth factor	True	True	KEGG: hsa04350
TGFB3_TGFBR1_TGFBR2	TGFB3 - (TGFBR1+TGFBR2)	TGFb	Secreted Signaling	brain	ligand_immune__receptor_tumour	TGFB3	TGFbR1_R2	TGFB3	TGFBR1;TGFBR2	TIME-B	LB	False	exploratory	True	True	TGFB3:5/8	TGFBR1:10/27;TGFBR2:23/27	0.625	0.37037037037037035	False	below_detection_floor	cytokine;growth factor	True	True	KEGG: hsa04350
