site	n_patients	n_rows	n_permutations	quantile	null_abs_rho	observed_abs_rho
brain	8	260	10000	0.5	0.28571428571428564	0.261904761904762
brain	8	260	10000	0.9	0.6190476190476192	0.6428571428571429
brain	8	260	10000	0.95	0.7142857142857144	0.7154761904761902
brain	8	260	10000	0.99	0.8571428571428572	0.8669047619047626
brain	8	260	10000	0.999	0.9523809523809524	0.9462142857142855
brain	8	260	10000	1.0	1.0000000000000002	0.9523809523809524
lung	13	268	10000	0.5	0.2032967032967033	0.23076923076923078
lung	13	268	10000	0.9	0.478021978021978	0.5010989010989014
lung	13	268	10000	0.95	0.554945054945055	0.6189560439560439
lung	13	268	10000	0.99	0.6978021978021977	0.6978021978021978
lung	13	268	10000	0.999	0.8186813186813187	0.7417582417582417
lung	13	268	10000	1.0	0.9780219780219781	0.7417582417582417
