arm	reference	aoi_label	aoi_code	site	patient_id	cell_type	abundance	proportion
safetme	safeTME	TIME-L05	TIME-L	lung	P5	macrophages	27.531369148849	0.0855497198224854
safetme	safeTME	TIME-L05	TIME-L	lung	P5	mast	0.480912421421206	0.00149436530705401
safetme	safeTME	TIME-L05	TIME-L	lung	P5	B	23.1763834026473	0.0720172358982687
safetme	safeTME	TIME-L05	TIME-L	lung	P5	plasma	53.5059023373721	0.166261798643705
safetme	safeTME	TIME-L05	TIME-L	lung	P5	CD4.T.cells	0	0
safetme	safeTME	TIME-L05	TIME-L	lung	P5	CD8.T.cells	25.3644572061251	0.0788163565604632
safetme	safeTME	TIME-L05	TIME-L	lung	P5	NK	7.85080051646588	0.0243952191747049
safetme	safeTME	TIME-L05	TIME-L	lung	P5	pDC	0	0
safetme	safeTME	TIME-L05	TIME-L	lung	P5	mDCs	1.8264199225913	0.00567533390043639
safetme	safeTME	TIME-L05	TIME-L	lung	P5	monocytes	4.41683929530521	0.0137246848193927
safetme	safeTME	TIME-L05	TIME-L	lung	P5	neutrophils	21.3625915972761	0.0663811420328712
safetme	safeTME	TIME-L05	TIME-L	lung	P5	Treg	17.8046664149287	0.055325407722908
safetme	safeTME	TIME-L05	TIME-L	lung	P5	endothelial.cells	17.5680928336371	0.0545902897748148
safetme	safeTME	TIME-L05	TIME-L	lung	P5	fibroblasts	120.928739827814	0.375768446342895
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	macrophages	257.116389542711	0.367385370118694
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	mast	0.561796692953315	0.000802733292650824
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	B	10.1499517877005	0.0145029408698656
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	plasma	27.4921966772268	0.0392827188869697
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	CD4.T.cells	69.2415462003831	0.0989370266269733
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	CD8.T.cells	144.846226498089	0.206966131668775
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	NK	38.2028575094084	0.0545868389434361
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	pDC	2.38838425628834	0.00341268573171372
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	mDCs	1.26771488026784	0.00181139717044296
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	monocytes	33.2898613136533	0.0475668161087215
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	neutrophils	10.5203384464248	0.0150321744980465
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	Treg	8.82077256781264	0.0126037192740697
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	endothelial.cells	49.7438710341472	0.0710774233549238
safetme	safeTME	TIME-L12a	TIME-L	lung	P12	fibroblasts	46.2128240419355	0.0660320234547175
safetme	safeTME	TIME-L15	TIME-L	lung	P15	macrophages	23.0849160341513	0.0475390847461533
safetme	safeTME	TIME-L15	TIME-L	lung	P15	mast	1.61633299952966	0.00332853675226588
safetme	safeTME	TIME-L15	TIME-L	lung	P15	B	59.9481844165696	0.123452119779915
safetme	safeTME	TIME-L15	TIME-L	lung	P15	plasma	33.8062912912613	0.0696177601110128
safetme	safeTME	TIME-L15	TIME-L	lung	P15	CD4.T.cells	73.3574341120001	0.151065971903542
safetme	safeTME	TIME-L15	TIME-L	lung	P15	CD8.T.cells	38.3977737551737	0.0790730630300053
safetme	safeTME	TIME-L15	TIME-L	lung	P15	NK	14.6997314754931	0.0302713589828682
safetme	safeTME	TIME-L15	TIME-L	lung	P15	pDC	3.12892610612347	0.00644344051775642
safetme	safeTME	TIME-L15	TIME-L	lung	P15	mDCs	0	0
safetme	safeTME	TIME-L15	TIME-L	lung	P15	monocytes	15.9958962698151	0.032940568951451
safetme	safeTME	TIME-L15	TIME-L	lung	P15	neutrophils	14.9997981638827	0.0308892904367988
safetme	safeTME	TIME-L15	TIME-L	lung	P15	Treg	41.9243945230306	0.0863354816284819
safetme	safeTME	TIME-L15	TIME-L	lung	P15	endothelial.cells	50.961777686587	0.104946288939203
safetme	safeTME	TIME-L15	TIME-L	lung	P15	fibroblasts	113.677207032523	0.234097034220546
safetme	safeTME	TIME-L19	TIME-L	lung	P19	macrophages	99.7657859033374	0.239610116091268
safetme	safeTME	TIME-L19	TIME-L	lung	P19	mast	0.302069265652482	0.000725487712598412
safetme	safeTME	TIME-L19	TIME-L	lung	P19	B	22.9795642180653	0.0551906247233118
safetme	safeTME	TIME-L19	TIME-L	lung	P19	plasma	23.7321639443849	0.0569981633114248
safetme	safeTME	TIME-L19	TIME-L	lung	P19	CD4.T.cells	36.9843478167255	0.0888262824142098
safetme	safeTME	TIME-L19	TIME-L	lung	P19	CD8.T.cells	64.2093642385103	0.154213321531317
safetme	safeTME	TIME-L19	TIME-L	lung	P19	NK	6.12452775228522	0.0147094396384659
safetme	safeTME	TIME-L19	TIME-L	lung	P19	pDC	1.12609025653465	0.00270456063323094
safetme	safeTME	TIME-L19	TIME-L	lung	P19	mDCs	0	0
safetme	safeTME	TIME-L19	TIME-L	lung	P19	monocytes	21.1959325637127	0.0509068295936111
safetme	safeTME	TIME-L19	TIME-L	lung	P19	neutrophils	7.07942684675794	0.0170028459481575
safetme	safeTME	TIME-L19	TIME-L	lung	P19	Treg	34.9444744401452	0.0839270647901691
safetme	safeTME	TIME-L19	TIME-L	lung	P19	endothelial.cells	11.3736148226326	0.0273163103297639
safetme	safeTME	TIME-L19	TIME-L	lung	P19	fibroblasts	86.5498077770252	0.207868953282472
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	macrophages	84.8264777969226	0.146907813334577
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	mast	0.663936210967455	0.00114984636259896
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	B	168.544868784346	0.291896572449337
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	plasma	21.4266499998849	0.0371080160383908
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	CD4.T.cells	84.270999294938	0.145945800833288
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	CD8.T.cells	52.0540448367579	0.0901504589226919
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	NK	14.2179005632059	0.0246234517357834
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	pDC	12.2809220883161	0.0212688709537847
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	mDCs	5.11555533673886	0.00885943950556902
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	monocytes	11.1208225406141	0.0192597378124636
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	neutrophils	14.6823620234779	0.0254278352169659
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	Treg	43.8464569326875	0.0759360435296006
safetme	safeTME	TIME-L12b	TIME-L	lung	P12	endothelial.cells	30.2352255485579	0.0523632595196297
