marker	aoi_code	n	median_log2	q1_log2	q3_log2	median_over_background
EPCAM	L	30	8.0039	7.4174	8.2536	2.7754
EPCAM	LB	27	7.8976	7.2819	8.2041	2.6692
EPCAM	mLN	13	7.4594	6.5911	8.186	2.231
EPCAM	TIME-L	15	5.3944	5.2063	5.9369	0.1659
EPCAM	TIME-B	8	5.8625	5.3459	6.1427	0.6341
EPCAM	TBME	20	5.6377	5.3758	5.8249	0.4093
EPCAM	BC	7	5.2369	5.1283	5.3668	0.0084
KRT19	L	30	9.017	8.3211	9.9626	3.7885
KRT19	LB	27	9.1047	8.4619	10.27	3.8763
KRT19	mLN	13	8.8039	8.4525	9.6509	3.5755
KRT19	TIME-L	15	6.1504	5.8056	6.8205	0.9219
KRT19	TIME-B	8	6.327	5.8818	6.7141	1.0986
KRT19	TBME	20	6.1244	5.9009	6.4192	0.896
KRT19	BC	7	5.3656	5.1018	5.5193	0.1372
PTPRC	L	30	5.9995	5.7685	6.3282	0.771
PTPRC	LB	27	5.7929	5.4433	5.9882	0.5644
PTPRC	mLN	13	6.6315	6.4976	6.9675	1.4031
PTPRC	TIME-L	15	8.3772	7.7937	8.6597	3.1487
PTPRC	TIME-B	8	7.726	7.4615	8.1899	2.4976
PTPRC	TBME	20	6.834	6.6965	7.5919	1.6056
PTPRC	BC	7	5.803	5.6442	6.021	0.5745
GFAP	L	30	5.6229	5.4139	5.9659	0.3945
GFAP	LB	27	5.7929	5.4548	6.2296	0.5644
GFAP	mLN	13	5.6707	5.3764	5.96	0.4423
GFAP	TIME-L	15	6.1216	5.8851	6.3828	0.8932
GFAP	TIME-B	8	7.3584	6.424	9.497	2.13
GFAP	TBME	20	11.8891	7.3343	12.4904	6.6607
GFAP	BC	7	10.1773	9.0591	12.0383	4.9489
AQP4	L	30	5.2091	4.9018	5.7486	-0.0193
AQP4	LB	27	5.1965	4.9644	5.7298	-0.0319
AQP4	mLN	13	5.2172	4.8212	5.4989	-0.0112
AQP4	TIME-L	15	5.5919	5.3884	5.7793	0.3634
AQP4	TIME-B	8	5.8177	5.4866	6.2389	0.5893
AQP4	TBME	20	7.4204	5.6894	8.6256	2.192
AQP4	BC	7	8.1984	7.876	8.9701	2.97
NegProbe-WTX	L	30	4.9593	4.7173	5.2494	-0.2692
NegProbe-WTX	LB	27	4.9891	4.7939	5.3621	-0.2393
NegProbe-WTX	mLN	13	5.0321	4.7032	5.2315	-0.1963
NegProbe-WTX	TIME-L	15	5.3586	5.1285	5.4426	0.1302
NegProbe-WTX	TIME-B	8	5.2967	5.1906	5.5902	0.0683
NegProbe-WTX	TBME	20	5.6197	5.3304	6.0732	0.3913
NegProbe-WTX	BC	7	5.6713	5.603	5.8446	0.4429
