aoi_label	library_size	q3	median	max	n_zero_genes	negprobe
L01	1986999.9	91.04	57.7	50926.0	0	33.2
L02	2094271.08	91.04	47.74	34792.0	0	25.76
L04	2022050.47	91.04	45.52	19345.0	0	21.4
L05	1875717.28	91.04	44.17	40045.0	0	21.92
L07	1941773.07	91.04	46.03	46104.0	0	25.28
L09	2000751.34	91.04	49.13	31997.0	0	25.73
L11	1825791.17	91.04	55.57	62131.0	0	23.26
L12	2162540.71	91.04	45.18	30506.0	0	23.41
L13	2009706.23	91.04	49.14	39157.0	0	28.86
L14	1890780.93	91.04	65.18	89658.0	0	48.58
L15	2031563.39	91.04	55.87	73010.0	0	33.38
L16	1772416.42	91.04	59.78	27502.0	0	36.24
L17	1954046.14	91.04	45.52	27474.0	0	22.89
L19	1845470.26	91.04	48.97	43388.0	0	24.92
L20	1909430.7	91.04	46.87	29607.0	0	22.59
L03	2002853.03	91.04	55.94	72600.0	0	34.12
L22	1984972.97	91.04	50.58	50861.0	0	26.31
L21	2052859.06	91.04	49.6	50067.0	0	27.21
L18	1973430.93	91.04	55.8	51865.0	0	31.41
L24	1892850.9	91.04	63.73	38684.0	0	37.63
L26	1937743.84	91.04	56.59	22611.0	0	33.5
L40	1783367.65	91.04	51.46	53359.0	0	25.38
L29	1993332.64	91.04	66.76	104080.0	0	48.21
L34	1880067.77	91.04	56.9	51579.0	0	37.31
L32	1869949.33	91.04	54.17	42096.0	0	28.15
L43	1972491.52	91.04	67.2	110530.0	0	48.79
L30	1879443.89	91.04	65.03	89033.0	0	44.61
L35	2098263.7	91.04	68.28	204190.0	0	45.59
L37	2068381.72	91.04	55.37	69449.0	0	32.44
L44	1889098.67	91.04	62.59	56575.0	0	38.78
TIME-L05	3233588.05	91.04	62.53	257190.0	0	42.15
TIME-L12a	2059598.89	91.04	55.14	50317.0	0	26.34
TIME-L15	2213573.68	91.04	60.92	72023.0	0	30.17
TIME-L19	2237929.73	91.04	62.67	86651.0	0	41.56
TIME-L12b	1920809.15	91.04	66.7	44731.0	0	37.12
TIME-L18	1847080.48	91.04	68.63	45520.0	0	40.03
TIME-L24a	2008793.37	91.04	62.48	46039.0	0	42.04
TIME-L24b	1958357.37	91.04	59.75	43012.0	0	30.25
TIME-L26	2275586.92	90.4575	60.7	91911.0	0	34.56
TIME-L29	2971752.69	91.04	62.95	339200.0	0	37.35
TIME-L32	2700439.94	91.04	62.59	181460.0	0	33.41
TIME-L43	2311075.73	91.04	70.68	104040.0	0	49.82
TIME-L30	2614471.39	91.04	65.83	207310.0	0	45.35
TIME-L35	1909153.35	91.04	70.03	144130.0	0	49.71
TIME-L40	2139449.88	91.04	69.44	146930.0	0	42.83
mLN01	1912124.69	91.04	52.63	32644.0	0	26.58
mLN02	1855422.54	91.04	48.86	38093.0	0	24.09
mLN03	2009646.68	91.04	54.77	71536.0	0	34.2
mLN04	1846371.07	91.04	60.05	51076.0	0	36.57
mLN05	1935043.66	91.04	53.17	51215.0	0	30.22
mLN06	2084132.42	91.04	59.83	106330.0	0	44.85
mLN07	1886099.14	91.04	51.87	43699.0	0	31.72
mLN09	1922235.44	91.04	55.94	53676.0	0	35.23
mLN10	1976432.95	91.04	40.19	30921.0	0	17.97
mLN11	1837748.74	91.04	51.39	37209.0	0	25.05
mLN12	1748255.76	91.04	47.21	26021.0	0	19.99
mLN14	1950244.64	91.04	55.61	65380.55	0	44.7
mLN20	2026561.63	91.04	65.21	71935.0	0	42.67
LB01	1990877.48	91.04	59.23	32092.0	0	28.1
LB02	1831117.1	91.04	40.71	21641.0	0	17.13
LB04	1912637.85	90.9675	49.63	34343.0	0	27.83
LB05	1835205.2	91.04	51.46	29247.0	0	26.67
LB06	2052014.33	91.04	48.26	22432.0	0	26.74
LB07	1861013.17	91.04	43.93	22474.0	0	24.5
LB08	1833214.2	91.04	48.56	30300.0	0	26.02
LB09	1900702.69	91.04	49.29	43814.0	0	31.1
LB10	2001783.67	91.04	46.33	26406.0	0	19.95
LB13	2097871.42	91.04	55.22	48853.0	0	39.48
LB14	1905577.17	91.04	53.21	20418.0	0	30.44
LB16	1864668.07	91.04	51.49	52280.0	0	30.72
LB17	2084805.93	91.04	58.04	66767.0	0	42.31
LB19	1847622.05	91.04	53.22	49438.0	0	33.04
LB20	2325752.52	91.04	66.11	174870.0	0	53.65
LB15	1959383.6	91.04	50.91	50153.0	0	33.17
LB03	1932593.55	91.04	63.33	36695.0	0	42.4
LB21	2187604.94	91.04	42.78	35166.0	0	25.24
LB18	1919959.37	91.04	59.53	80776.0	0	30.98
LB24	1731738.66	91.04	72.46	56586.0	0	45.1
LB12	1923751.4	91.04	52.02	43079.0	0	27.37
LB34	1882734.37	91.04	54.44	43154.0	0	35.09
LB31	1826691.99	91.04	55.05	29479.0	0	30.76
LB35	1591793.08	91.04	56.9	44144.0	0	26.74
LB37	1993747.76	91.04	63.57	75836.0	0	44.8
LB40	1670457.56	91.04	77.51	13018.0	0	46.25
LB44	2166193.22	91.04	59.53	53295.0	0	40.79
TBME01	1671288.92	91.04	71.13	13030.0	0	44.29
TBME02	1712225.25	91.04	64.49	18165.0	0	38.71
TBME03	1863055.04	91.04	71.73	100660.0	0	56.44
TBME04	1711731.19	91.04	76.01	32353.0	0	66.32
