signature	method	patient_id	brain	lung	delta_brain_minus_lung
antigen_presentation	ssgsea	P12	0.66634605356030796	0.70842649263470059	-0.042080439074392628
antigen_presentation	ssgsea	P15	0.6369848624447213	0.67696118715046016	-0.039976324705738864
antigen_presentation	ssgsea	P19	0.67818006479163107	0.69119134884753997	-0.0130112840559089
antigen_presentation	ssgsea	P35	0.62060154998789807	0.67518603104374508	-0.054584481055847012
antigen_presentation	ssgsea	P5	0.6901778833606842	0.65831921746423117	0.031858665896453031
antigen_presentation	zscore	P12	-0.11745330893453571	1.0442252521058522	-1.1616785610403879
antigen_presentation	zscore	P15	-0.62423433662591121	-0.26503770437066593	-0.35919663225524529
antigen_presentation	zscore	P19	-0.1530880931425613	0.43261161353540312	-0.58569970667796445
antigen_presentation	zscore	P35	-1.1829651159941368	-0.90748655398272404	-0.27547856201141274
antigen_presentation	zscore	P5	0.067558639215726801	-0.065627496203719604	0.13318613541944641
cytotoxicity	ssgsea	P12	-0.064844710407034906	0.5576727486165145	-0.62251745902354938
cytotoxicity	ssgsea	P15	0.2715437524961834	0.38566238457741259	-0.11411863208122919
cytotoxicity	ssgsea	P19	0.060893588204255	0.35329257813749299	-0.29239898993323798
cytotoxicity	ssgsea	P35	0.20944529953702401	0.38059060657163579	-0.17114530703461178
cytotoxicity	ssgsea	P5	0.2133310469386695	0.2728932317230095	-0.05956218478434
cytotoxicity	zscore	P12	-1.118435396954937	1.6850748522119892	-2.8035102491669264
cytotoxicity	zscore	P15	-0.0338322432252222	0.2628561633552256	-0.29668840658044782
cytotoxicity	zscore	P19	-0.63761784980023661	0.42043362922437838	-1.0580514790246149
cytotoxicity	zscore	P35	-0.26473098760478497	0.093077756477902604	-0.35780874408268759
cytotoxicity	zscore	P5	-0.36416396496133602	0.1552522749661279	-0.51941623992746389
exhaustion	ssgsea	P12	0.13235526316962229	0.38197450183388204	-0.24961923866425975
exhaustion	ssgsea	P15	0.1146387223748586	0.23652485733536041	-0.12188613496050181
exhaustion	ssgsea	P19	0.095517505323641796	0.26918349465410563	-0.17366598933046384
exhaustion	ssgsea	P35	0.0065524634411979	0.28143787965895772	-0.2748854162177598
exhaustion	ssgsea	P5	0.13442000016946359	0.080893201095101896	0.053526799074361697
exhaustion	zscore	P12	-0.65599916672001901	1.0491060096892499	-1.7051051764092691
exhaustion	zscore	P15	-0.29053770013914493	0.23079334919316699	-0.52133104933231189
exhaustion	zscore	P19	-0.1342014836240398	0.3502401957083438	-0.48444167933238358
exhaustion	zscore	P35	-0.1265273499264267	0.5922636538604813	-0.71879100378690797
exhaustion	zscore	P5	-0.094428183462875404	-0.46920163031591328	0.37477344685303787
myeloid_m1	ssgsea	P12	0.0039786062592505004	0.16532462721471536	-0.16134602095546485
myeloid_m1	ssgsea	P15	-0.037473455888521703	-0.034473358146607701	-0.0030000977419140026
myeloid_m1	ssgsea	P19	0.1161070395589613	0.26338362770897228	-0.14727658815001099
myeloid_m1	ssgsea	P35	-0.0044054906662808003	0.0236227956741735	-0.0280282863404543
myeloid_m1	ssgsea	P5	-0.0079151616673898001	-0.0426062394053663	0.0346910777379765
myeloid_m1	zscore	P12	-0.67966824783883273	0.20767071212306995	-0.88733895996190271
myeloid_m1	zscore	P15	-0.65606528022813204	-0.65846007451049571	0.0023947942823636659
myeloid_m1	zscore	P19	0.16680211612556689	0.69209136609087474	-0.5252892499653079
myeloid_m1	zscore	P35	0.0014550098247998	0.17088883219492171	-0.16943382237012192
myeloid_m1	zscore	P5	-0.246656453213903	-0.44248805033663419	0.19583159712273118
myeloid_m2	ssgsea	P12	0.42635221237276721	0.45882702588731172	-0.032474813514544509
myeloid_m2	ssgsea	P15	0.44598422711058627	0.33381767006305241	0.11216655704753387
myeloid_m2	ssgsea	P19	0.21241488709727971	0.41667345676501027	-0.20425856966773057
myeloid_m2	ssgsea	P35	0.48741220496129017	0.1485631890803516	0.33884901588093858
myeloid_m2	ssgsea	P5	0.45425015349657361	0.28429720489954757	0.16995294859702603
myeloid_m2	zscore	P12	0.19778504364255761	0.33358744411248359	-0.13580240046992598
myeloid_m2	zscore	P15	0.29154499184677601	-0.22521126714651149	0.51675625899328748
myeloid_m2	zscore	P19	-0.63096141523519433	0.080575590489675303	-0.71153700572486966
myeloid_m2	zscore	P35	0.22517479600232529	-0.77959477974056768	1.0047695757428929
myeloid_m2	zscore	P5	0.23228566559659111	-0.42111981552995792	0.65340548112654906
tls	ssgsea	P12	0.1052847359695354	0.33341745226461933	-0.22813271629508391
tls	ssgsea	P15	-0.071097629194719	0.55865248198407846	-0.62975011117879742
tls	ssgsea	P19	0.095941262794627405	0.33302786439723941	-0.23708660160261202
tls	ssgsea	P35	0.1143729158448988	0.42318692430112281	-0.30881400845622403
tls	ssgsea	P5	-0.21017805262344821	0.096417636013429203	-0.30659568863687742
tls	zscore	P12	-0.58938863144789344	0.51412903338623761	-1.1035176648341309
tls	zscore	P15	-0.64795406724703741	1.1029447415616915	-1.7508988088087289
tls	zscore	P19	-0.1897116346549742	0.41071827779161491	-0.60042991244658905
tls	zscore	P35	-0.0192426173212949	0.34448144682924742	-0.36372406415054231
tls	zscore	P5	-0.87222151807941073	-0.065205792612908195	-0.80701572546650258
