aoi_label	aoi_code	patient_id	site	compartment	dsp_run	qc_flag	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
L01	L	P1	lung	tumour	DSP-1012300141221	False	-4.1814418	3.3144171	-4.2280655	-14.253804	0.39464217	5.8635044	-10.090606	-8.010397	-1.1214042	-2.99068	5.6755338	-6.5811667	8.1183491	-5.3950109	-5.6135912	-1.4409258	-6.8155832	2.5135112	2.2986612	-6.838861	-5.0786829	4.9443483	1.9323182	-0.7340607	-1.283887	0.039591864	2.2267632	2.3657837	1.9315917	-1.4389634
L02	L	P2	lung	tumour	DSP-1012300141221	False	-20.756084	-2.7799459	-28.63303	2.8305783	15.09813	-15.725333	-4.96525	13.708297	-12.591908	-3.6293685	7.2805948	-1.4493041	1.7272528	-2.3698387	-0.57420903	5.5395136	0.45052198	0.13968052	1.0788971	0.29771122	0.84057796	4.5485849	-0.347233	5.9180069	8.2013617	-6.6815486	-4.4495339	1.804769	-0.33716765	-1.5977809
L04	L	P4	lung	tumour	DSP-1012300141221	False	-20.812948	2.2909913	-0.32554942	-19.464642	-8.8622169	-0.49074358	-8.1063023	-1.4206955	0.29873258	-1.0031973	-0.46068859	-2.9636006	-4.2547097	-8.2559576	9.7397003	6.9989042	-1.2557577	-4.5086155	2.6401832	3.3470831	1.502178	-0.96394265	13.177267	0.060514905	4.1923957	3.9386237	-2.9187195	0.66330093	-7.689784	0.66565597
L05	L	P5	lung	tumour	DSP-1012300141221	False	-27.048492	-0.45996997	-9.8240461	-2.1895056	0.1648193	-12.785223	16.633642	-4.5081372	4.674757	6.4666438	-5.0665383	13.24881	-2.0403035	-0.051530767	1.4608172	-7.0889516	-3.5010746	-3.9020829	-1.3900796	-2.9892285	-6.3603463	4.4780746	6.007967	0.69720817	-5.5361681	-1.2992061	3.6747506	-0.41919324	-1.1602043	5.0697322
L07	L	P7	lung	tumour	DSP-1012300141221	False	-24.988592	-1.8851292	-1.8712319	-15.863132	0.93637305	-3.2535317	-4.9532437	-3.4809949	2.3750136	-0.37585419	5.9177008	7.7536302	3.0738926	1.7875279	0.097004466	5.3902397	-1.4036013	2.2176127	-8.5474539	3.1466875	0.76996857	-7.1317058	-1.5709025	0.50195873	-5.0060034	-4.0710444	2.0888674	-5.0189042	-0.023106828	1.7783866
L09	L	P9	lung	tumour	DSP-1012300141221	False	-21.569427	-5.8331075	9.368103	-18.810909	6.5999875	4.5116067	-0.38864315	0.016287433	-0.93404466	-3.5787573	-11.490708	-2.103883	8.3123894	6.5721965	-2.0187714	-1.5633764	3.8389938	-8.8948164	-6.143702	2.2612181	2.8306642	0.35741979	-2.4241052	1.9032831	0.095274806	2.4673994	-0.98735905	6.2028909	2.7491734	-1.2353297
L11	L	P11	lung	tumour	DSP-1012300141221	False	-8.5441685	-9.6797037	14.76588	9.6043415	-6.1714511	-14.490572	-9.1726313	-9.366189	-0.31780288	-3.1506114	6.1517	-1.3619528	0.28278658	6.6052184	-4.3241105	-2.2509851	6.6470413	-5.6742668	2.373168	-7.1161752	-3.2912242	-6.0948682	-3.5801992	-1.4268203	-0.66830152	0.45483813	-1.0655963	1.0304366	-6.1552749	1.0766863
L12	L	P12	lung	tumour	DSP-1012300141221	False	-22.315247	3.7314799	-17.52479	-5.9837523	-5.5792742	-0.25534192	11.197253	-17.430344	0.88817781	4.1539316	9.3426952	-14.723718	-4.915081	-0.76744783	4.8109632	-12.619324	12.915366	9.6069746	-13.268456	2.2896202	-4.5811129	-0.85177934	0.59462923	9.4795179	2.2517188	-0.46305335	1.3616257	4.7146463	-0.21583417	-0.4636386
L13	L	P13	lung	tumour	DSP-1012300141221	False	-19.15402	-8.8006811	-19.252396	8.4406672	-1.4194854	7.5089645	-9.0565395	5.3743191	5.7721257	-6.5633368	0.45986909	6.3484545	-6.6105137	-3.6852469	-2.3773992	-2.6150241	0.25881687	-5.7283258	-3.9939222	-1.5728855	-4.9226522	-4.0892487	0.51294166	-1.0093334	-2.3658056	3.2772565	5.5694237	-2.8943641	4.8088989	3.1466978
L14	L	P14	lung	tumour	DSP-1012300141221	False	-0.89289647	0.15532258	11.322253	-0.31279737	10.04079	5.5418167	5.3170843	4.9060097	5.2549677	-0.051039569	1.3955696	-1.0368054	-3.3375459	1.3324665	-7.0151811	3.2983541	-0.48911852	1.2779737	-0.65329701	-0.37543425	-2.0835443	-1.0693308	-0.51647508	2.2625673	2.7839122	2.879586	-1.2894137	-0.10116858	-0.068571217	2.8689687
L15	L	P15	lung	tumour	DSP-1012300141221	False	-7.4451184	-6.0352926	8.2047119	5.744226	1.912396	-7.4092846	-0.66054404	-5.0933676	-1.5682168	-0.63122547	-0.22815368	1.3856208	-1.0607173	-5.3523078	0.67660153	-5.2479534	-4.9433408	-3.6273639	-5.7983804	-1.89033	-0.27109712	5.6165161	-4.48629	2.5956271	1.7779008	8.6075583	-3.8673263	-8.8549833	0.042918418	-8.4725227
L16	L	P16	lung	tumour	DSP-1012300141221	False	-5.7013631	-2.8421907	6.0840087	1.1495346	7.1104846	0.048470732	1.7682151	1.5906607	2.8983912	3.0298882	1.3875984	2.9046471	1.5434812	-2.0385356	-4.574121	-2.9868729	-4.407639	2.5166035	-0.49690273	-1.1581936	-2.0165014	5.9276385	-2.2823431	-1.4028633	0.35005251	-2.4847679	-1.2469822	-0.35100731	-3.4172728	1.5427005
L17	L	P17	lung	tumour	DSP-1012300141221	False	-20.892138	-10.10167	-13.05827	6.5591412	-8.0029707	-2.3344653	-9.0600176	18.388542	21.046833	1.9978009	-3.6718426	-3.1473949	3.7948709	4.0276737	2.3469036	-6.0390859	1.0046073	7.4555917	6.351594	-3.9597285	7.1353631	-1.6466724	1.9809984	11.833295	-12.671927	8.9045877	-3.303998	2.7301693	-2.9204576	-3.7351596
L19	L	P19	lung	tumour	DSP-1012300141221	False	-21.015182	-8.243598	6.3451743	-3.1428013	-2.7651298	-4.0379534	0.0070502581	-0.051808648	16.106764	7.2413268	11.074188	6.0629234	-0.9823693	-7.0086975	5.1666527	8.1553679	5.4551125	0.4564988	1.2441128	2.0827086	0.36038131	3.6023352	-7.0830679	-10.834661	3.4497979	2.5108774	1.8563236	9.445714	1.7919366	-2.1590519
L20	L	P20	lung	tumour	DSP-1012300141221	False	-24.827515	-13.14294	11.335447	9.0084763	-8.4395113	1.5027093	1.3183038	8.5395746	-10.822169	-4.3331962	-1.0673598	4.0469403	5.0783763	0.20924272	7.2828579	-0.27988499	-5.5266747	4.2048144	-6.6848283	2.8851378	-1.8013098	3.4982102	0.29097581	-5.099122	-1.1732681	0.41948956	0.089492656	4.3805723	-2.9580545	4.4916658
L03	L	P3	lung	tumour	DSP-1012300141221	False	-11.292259	3.4525433	6.3242526	-5.7585588	4.249011	6.6132946	-0.68388081	3.6617942	-2.7939298	-4.2064552	4.2021766	4.0493965	1.727061	0.18891034	-4.3932438	-0.35195869	1.6073208	-0.27285922	-2.9396865	2.1937084	-1.7763013	1.841277	3.8089821	0.27331007	-2.4630833	-2.4580388	0.84546781	0.056632172	1.5697911	-2.2495475
L22	L	P22	lung	tumour	DSP-1012300141221	False	-22.069025	-11.244154	12.267669	9.4775352	-4.4137688	5.9311152	3.3101044	-5.0444131	-3.3190458	-1.3482957	9.4801884	3.5707226	2.6565399	-1.2962922	6.0583239	6.9506974	6.0653472	-0.037442647	3.206074	-1.6941721	8.4900837	5.619863	4.5728302	1.6713221	-0.40463486	1.9340618	7.4723315	-1.423871	4.2586198	3.6949639
