gene	PC1	PC2	PC3	PC4
A2M	0.043182464	0.085092144	0.0073660453	-0.0080787316
A2ML1	0.014903227	0.0015694919	-0.019069716	0.0091332606
AADAC	0.013484971	0.0025310947	-0.01013071	0.0225583
AATK	0.034306226	-0.017537041	-0.0011369137	0.00049182739
ABAT	0.029717234	-0.012350976	0.0067215193	0.0036390581
ABCA12	0.0046673208	-0.0070963658	-0.0022560243	0.022810706
ABCA2	0.029028663	-0.012144214	-0.0017958814	-0.0087104115
ABCA3	0.0013711056	-0.02907407	0.066469033	-0.031457291
ABCB6	-0.0042703879	-0.026329865	-0.020233723	0.027595004
ABCC1	-0.010862202	0.00020598504	-0.016744683	0.019710542
ABCC2	0.00092712134	-0.0083790585	-0.033864632	0.053599128
ABCC4	0.0059848876	-0.007105399	0.013178547	0.013407551
ABCC5	0.0036683873	-0.0023454739	-0.028879959	0.010339093
ABCC9	0.019362332	0.016672868	0.0047857189	0.013518822
ABCG2	0.025552696	0.0046035484	-0.0045706064	0.011608275
ABI3BP	0.021141736	0.026778272	-0.0069541807	0.019213336
ACADM	7.490737e-05	-0.0040647729	-0.0089773048	0.0081924852
ACE2	0.014235166	-0.0033839117	0.014959131	0.023459012
ACKR2	0.0080163694	0.0064873444	0.02328087	0.017876747
ACKR3	0.0080945945	0.0081262252	-0.020255885	0.037650626
ACP5	-0.0007783348	0.051045899	0.0059751034	-0.014288932
ACSL5	-0.0095109775	-0.0053037482	0.052782978	-0.0057367309
ACSL6	0.035373315	-0.012965501	0.0041981361	-0.0020786565
ACTG2	0.018676207	0.021095984	0.008241568	0.014029604
ADA2	0.018514567	0.044392508	0.00725166	0.014550759
ADAM11	0.029370954	-0.006955566	-0.0026315682	-0.00013918147
ADAM19	0.016673336	0.040143779	-0.0094017212	0.0035174885
ADAM23	0.024209157	-0.0040001241	-0.017204222	0.0031997776
ADAMDEC1	0.023123693	0.034792615	-0.0022866791	0.0082043953
ADAMTS1	0.024235475	0.035056729	0.0083738935	0.011263019
ADAMTS14	0.019190142	0.015989189	0.014950296	0.016734407
ADAMTS2	0.022086739	0.036523765	-0.0062574238	0.0027011005
ADAMTS4	0.024275872	0.025729131	0.0048165352	0.013147225
ADAMTS9	0.016957861	0.014069856	0.01006111	0.0062089511
ADAMTSL4	0.0070085994	0.034302817	-0.014097735	-0.008276205
ADCY1	0.028131241	-0.022803775	0.0011149838	-0.011567136
ADCY2	0.031311873	-0.016566187	0.0040165925	0.0044276035
ADD2	0.031568467	-0.010116718	-0.0064652397	-0.0072144398
ADGRA2	0.025485558	0.032734757	0.0047909933	0.0079551428
ADGRB1	0.027136737	-0.020288954	0.0042607664	0.0019118988
ADGRB2	0.031588034	-0.011643458	0.0032963888	-0.0017226646
ADGRB3	0.029727691	-0.011876952	0.0081922932	0.0069368241
ADGRD1	0.0084538361	0.0033242886	0.046472617	0.015100004
ADGRF1	-0.0040452881	-0.0086463072	0.03362346	-0.045331676
ADGRG2	0.017287831	0.0086624196	0.0052844282	-0.00082001811
ADGRG6	-0.0065926473	0.00033087662	-0.0045684718	-0.024102204
ADGRL1	0.017750745	-0.023621047	-0.0056501875	-0.022627456
ADGRL3	0.036292307	-0.0095143073	-0.0081342477	-0.0053199783
ADH1B	0.010471453	0.023338691	0.01119266	0.028215258
ADH7	0.015280566	-0.0012002031	-0.017645048	0.0071496606
ADIRF	0.0010966575	-0.0074907321	0.0083753656	-0.050892932
ADK	-0.014240216	-0.0077101044	0.020721769	-0.031602646
ADM	0.0076217019	0.016206389	-0.032957752	0.0083128246
ADSS1	-0.00094138626	-0.010885545	-0.006426463	0.026939882
AGAP2	0.041536847	-0.0086480697	-0.013221777	-0.0087223809
AGER	0.0095964056	0.010606661	0.015563931	0.0088618493
