icc	effect	n_sim	n_converged	power_t	power_z
0	0.2	1000	984	0.0894309	0.113821
0	0.4	1000	980	0.15102	0.190816
0	0.6	1000	976	0.28791	0.33709
0	0.8	1000	977	0.418628	0.47697
0	1	1000	980	0.581633	0.635714
0	1.2	1000	973	0.742035	0.792395
0	1.4	1000	975	0.854359	0.890256
0	1.6	1000	987	0.931104	0.944276
0	1.8	1000	974	0.963039	0.971253
0	2	1000	982	0.983707	0.989817
0.25	0.2	1000	987	0.0719352	0.10233
0.25	0.4	1000	989	0.162791	0.212336
0.25	0.6	1000	988	0.305668	0.353239
0.25	0.8	1000	985	0.475127	0.544162
0.25	1	1000	985	0.609137	0.675127
0.25	1.2	1000	992	0.794355	0.840726
0.25	1.4	1000	987	0.882472	0.912867
0.25	1.6	1000	989	0.942366	0.957533
0.25	1.8	1000	996	0.980924	0.983936
0.25	2	1000	990	0.990909	0.993939
0.5	0.2	1000	994	0.110664	0.138833
0.5	0.4	1000	995	0.198995	0.239196
0.5	0.6	1000	996	0.351406	0.403614
0.5	0.8	1000	998	0.554108	0.625251
0.5	1	1000	995	0.741709	0.794975
0.5	1.2	1000	997	0.852558	0.899699
0.5	1.4	1000	997	0.930792	0.946841
0.5	1.6	1000	991	0.982846	0.987891
0.5	1.8	1000	991	0.991927	0.995964
0.5	2	1000	992	0.995968	0.995968
0.75	0.2	1000	999	0.124124	0.159159
0.75	0.4	1000	1000	0.283	0.333
0.75	0.6	1000	1000	0.527	0.58
0.75	0.8	1000	999	0.76977	0.811812
0.75	1	1000	999	0.901902	0.925926
0.75	1.2	1000	997	0.972919	0.981946
0.75	1.4	1000	1000	0.993	0.995
0.75	1.6	1000	1000	0.999	0.999
0.75	1.8	1000	996	1	1
0.75	2	1000	998	0.998998	1
