gene	published_log2fc	reproduced_log2fc	abs_diff_log2fc	published_p	reproduced_p	rel_diff_p	published_q
FSTL1	1.6034678220748899	1.6034677966732165	2.5401673431346694e-08	9.9453106170535299e-08	9.9453157328772607e-08	5.1439557080534826e-07	0.00062290895153018205
IGFBP4	3.0758488178253098	3.075848630127723	1.8769758680647897e-07	1.8916760300970401e-07	1.8916804227191445e-07	2.3220794864720062e-06	0.00088412208456660805
FAM107A	-2.5739212036132799	-2.5739214446365883	2.4102330842268316e-07	2.7834022093014201e-07	2.7833928354082126e-07	3.367782484442472e-06	0.00098132363997115602
SERPINH1	1.5277057886123599	1.5277058913369128	1.027245528639753e-07	3.1494741052831899e-07	3.1494795272831777e-07	1.72155725253198e-06	0.00098132363997115602
DCN	2.9385697841644198	2.9385542663655837	1.5517798836128804e-05	6.1277244574989402e-07	6.1274126056807825e-07	5.0891945341358102e-05	0.0014319726091617799
COL6A2	2.5706374645233101	2.5706296671974567	7.7973258534314027e-06	7.8244595491882498e-07	7.8235853103166881e-07	0.00011173153443577721	0.00146278271272074
CFH	1.91753089427948	1.9175307394497594	1.5482972059999156e-07	2.3947053736497099e-06	2.3947097521384e-06	1.8284039191573953e-06	0.00238206290478408
COL6A1	1.7576168775558401	1.7576170341967234	1.5664088337530302e-07	5.7235322071646403e-06	5.7235486004619214e-06	2.8641923706107519e-06	0.0028930626092628199
CYP1B1	1.91818535327911	1.9181850011649022	3.5211420779113212e-07	5.6457199634310099e-06	5.6457267753933827e-06	1.2065710692787945e-06	0.0028930626092628199
HSPG2	1.8781808614730799	1.878180642686579	2.1878650091622376e-07	4.6050393976846504e-06	4.6050299272549796e-06	2.0565360799862376e-06	0.0028930626092628199
COL1A2	3.7133655548095699	3.7133605793290663	4.9754805035995275e-06	7.6861649075481498e-06	7.6858134649033648e-06	4.5724057317619859e-05	0.0029936011030544298
ISLR	1.88364458084106	1.8836444423882028	1.3845285717906108e-07	8.2887791277169206e-06	8.2887885485729006e-06	1.1365794450046707e-06	0.0030991745158533502
LAMB1	1.62897336483001	1.6289733423496893	2.2480320716056212e-08	9.6123969065981493e-06	9.6123787335840338e-06	1.8905809126001927e-06	0.0032089957173009301
KIF5C	-1.8468322753906199	-1.8468322261010606	4.9289559322929222e-08	1.0738777534686001e-05	1.0738765295919133e-05	1.1396797101603795e-06	0.0034345606556203398
MYH9	1.8342924118041899	1.8343035415283602	1.112972417027791e-05	1.18414599902757e-05	1.1842610339871536e-05	9.7145925990638204e-05	0.0034345606556203398
COL4A1	3.30440926551818	3.3044046424808204	4.6230373595967933e-06	1.3301259267017699e-05	1.3301845784397517e-05	4.4094876134881389e-05	0.00360387017386806
COL3A1	3.8861823081970202	3.8861837875469494	1.4793499292231616e-06	1.4290066070471101e-05	1.428982989877481e-05	1.6526984208953266e-05	0.0037830218572565701
COL4A2	3.0492844581603999	3.0492785081323381	5.9500280618074441e-06	1.7497720520033701e-05	1.7497299024557694e-05	2.4088593455595664e-05	0.00415080188335083
CALD1	1.72427690029144	1.7242770763631592	1.7607171920452913e-07	2.13589016789847e-05	2.1358911986590333e-05	4.8259062146449594e-07	0.0043157819775685603
COL6A3	2.5753703117370601	2.5753625494296513	7.7623074088428723e-06	2.2438096066941099e-05	2.2435535475773719e-05	0.00011411802319327702	0.0043245382058913796
FBLN1	1.80113053321838	1.8011307516215886	2.1840320862942519e-07	2.3698950364886199e-05	2.3698914217591528e-05	1.5252698585266344e-06	0.0043901224181596204
P4HB	1.5450236797332699	1.5450237906057156	1.1087244566887478e-07	2.46710181200978e-05	2.467105439928061e-05	1.4705182669327854e-06	0.0043901224181596204
KIF5A	-1.6164144277572601	-1.6164148127452407	3.8498798060615513e-07	3.8307216763773798e-05	3.830707131239466e-05	3.7969706866425312e-06	0.0050791022510549696
TMSB10	1.91087174415588	1.9108834975434075	1.1753387527457804e-05	4.1114676476859799e-05	4.1106386749429407e-05	0.00020162453266681091	0.0051875562483193298
FN1	3.5001261234283398	3.5001405977316367	1.4474303296818647e-05	4.2356106541556501e-05	4.2348625976039485e-05	0.00017661126406121053	0.0052095184140688797
LUM	2.32896780967712	2.3289679417441178	1.3206699778223197e-07	4.5017459613493199e-05	4.5017505694197542e-05	1.0236184968537287e-06	0.0053410484891299103
IGFBP2	1.7483766078948899	1.7483768032203759	1.9532548600764699e-07	5.5691223841187901e-05	5.5691228299769957e-05	8.0058970564067522e-08	0.00545714047800134
MYL9	1.9049597978591899	1.9049600892041081	2.9134491819071684e-07	6.5387843403687699e-05	6.5387775116037221e-05	1.0443478011268326e-06	0.0055818526595065804
MMP14	1.5605335235595701	1.5605334401002509	8.3459319233369911e-08	7.2032143929569195e-05	7.2032152781501701e-05	1.2288864414955469e-07	0.0057449367784496302
MT3	-2.3244764804839999	-2.3244763664990415	1.1398495836090206e-07	7.2644454481485599e-05	7.2644498969638317e-05	6.1240948179275279e-07	0.0057449367784496302
SPARC	2.6511807441711399	2.6511890023966185	8.2582254785634746e-06	8.1234004998033998e-05	8.1233057060556353e-05	1.16692200227142e-05	0.0059277542929548899
F13A1	1.5517430305480899	1.5517431357671452	1.0521905524640829e-07	9.1428285276318904e-05	9.1428427612027892e-05	1.5568016895617376e-06	0.00610402529554543
PABPC1	1.61743056774139	1.6174337723464394	3.2046050493228506e-06	0.000103732024416277	0.00010373480424764731	2.6798198395905359e-05	0.0062501528243431
TIMP1	2.6613919734954798	2.6614007889409201	8.8154454402911142e-06	9.7742525191258105e-05	9.7734223345352232e-05	8.4935864810398165e-05	0.0062501528243431
EPAS1	1.75126957893371	1.7512697849333119	2.0599960182110522e-07	0.000108020771217583	0.00010802053512041754	2.1856645050499779e-06	0.0062878549425763796
ANXA2	1.6516816616058301	1.6516935568707831	1.1895264953043494e-05	0.00012395082338529799	0.00012396411655448441	0.0001072455093347191	0.0066207446948233096
