gene	alias	on_project_panel	named_by_paper	log2fc_fh_vs_fneg	p_student	abs_log2fc	published_threshold	reaches_published_threshold	in_published_deg_list	tbme_n_detected	tbme_n_aoi	tbme_assessable
BTLA		False	True	-0.49126751070541452	0.0077937504210753468	0.49126751070541452	1.5	False	False			
CD160		False	True	-0.72441777741693336	0.0015769549613834422	0.72441777741693336	1.5	False	False			
CD274	PD-L1	True	False	-0.12881165331363409	0.58558789152536161	0.12881165331363409	1.5	False	False	7	20	False
CD276	B7-H3	True	False	0.71432496268829393	0.0013396542287619742	0.71432496268829393	1.5	False	False	13	20	True
CTLA4	CTLA-4	True	False	-0.10803934984843178	0.65235072986875187	0.10803934984843178	1.5	False	False	3	20	False
HAVCR2	TIM-3	True	False	-0.35095926301759484	0.15066443729903167	0.35095926301759484	1.5	False	False	5	20	False
IDO1	IDO1	True	True	-0.3887137342445266	0.011057110369812842	0.3887137342445266	1.5	False	False	0	20	False
IDO2		False	True	-0.75837569015583117	0.052589614298524483	0.75837569015583117	1.5	False	False			
LAG3	LAG-3	True	False	-0.51931633190849169	0.078208830357528791	0.51931633190849169	1.5	False	False	2	20	False
PDCD1	PD-1	True	False	0.26882292569663591	0.19802699970667573	0.26882292569663591	1.5	False	False	6	20	False
PDCD1LG2		False	True	-0.53213706585237119	0.0081483603368697286	0.53213706585237119	1.5	False	False			
TDO2		False	True	-0.43742079767028752	0.068571363258176629	0.43742079767028752	1.5	False	False			
TIGIT	TIGIT	True	False	-0.22826518907391957	0.1799487164203874	0.22826518907391957	1.5	False	False	1	20	False
VSIR	VISTA	True	False	-0.11769379374116795	0.56240739360186276	0.11769379374116795	1.5	False	False	12	20	True
VTCN1		False	True	-0.8880873954399009	0.0027838698481988415	0.8880873954399009	1.5	False	False			
