aoi_label	gsm_id	aoi_code	patient_id	compartment	dsp_run	raw	trimmed	stitched	aligned	deduplicated	n_probes	pct_aligned	pct_trimmed_retained	sequencing_saturation	umiq30	rtsq30	negprobe	q3_norm_sum	detection_at_1x	detection_at_1.25x	detection_at_1.5x	detection_at_1.75x	detection_at_2x	detection_at_2.5x	detection_at_3x	detection_at_4x	detection_at_5x	gene_detection_rate	qc_flag	qc_reason
BC03	GSM6573810	BC	BC1	normal_control	DSP-1012310141221	7979197	7942268	7897840	7564740	1057695	18834	0.948058	0.995372	0.860181	0.9928	0.9926	57.59	1623270.07	0.696159	0.457045	0.2925	0.185033	0.132128	0.074997	0.050872	0.025891	0.016583	0.132128	False	
BC04	GSM6573811	BC	BC2	normal_control	DSP-1012310141221	10198481	10147864	10090493	9651910	1196817	18834	0.946407	0.995037	0.876002	0.9925	0.9923	49.96	1668724.36	0.759388	0.53445	0.373275	0.270889	0.20413	0.12512	0.085856	0.051032	0.033059	0.20413	False	
BC06	GSM6573812	BC	BC3	normal_control	DSP-1012310141221	4880898	4428369	4401496	4236299	767702	18834	0.867934	0.907286	0.81878	0.993	0.9921	45.61	1618353.0	0.803145	0.624585	0.439606	0.327431	0.240024	0.152669	0.103349	0.055847	0.036964	0.240024	False	
BC07	GSM6573813	BC	BC4	normal_control	DSP-1012310141221	13098520	13032810	12955115	12395482	1675456	18834	0.946327	0.994983	0.864833	0.9921	0.9922	43.41	1726791.75	0.782497	0.570771	0.436397	0.335188	0.271959	0.18637	0.136033	0.082861	0.056328	0.271959	False	
BC08	GSM6573814	BC	BC5	normal_control	DSP-1012310141221	6647435	6616468	6578949	6311250	848159	18834	0.949426	0.995342	0.865612	0.9926	0.9924	59.91	1633797.47	0.715524	0.4418	0.252648	0.150476	0.103028	0.056489	0.036696	0.021023	0.014122	0.103028	False	
BC09	GSM6573815	BC	BC6	normal_control	DSP-1012310141221	9803007	9760213	9701900	9261647	1135147	18834	0.944776	0.995635	0.877436	0.9928	0.9926	55.36	1658365.94	0.72863	0.470579	0.314914	0.218894	0.155558	0.08928	0.059698	0.035252	0.021932	0.155558	False	
BC10	GSM6573816	BC	BC7	normal_control	DSP-1012310141221	14506955	14439694	14350798	13734451	1569379	18834	0.946749	0.995364	0.885734	0.9925	0.9927	49.68	1653760.95	0.780839	0.547983	0.378678	0.271798	0.207125	0.125281	0.083877	0.048732	0.031026	0.207125	False	
L01	GSM6573699	L	P1	tumour	DSP-1012300141221	17526776	17443502	17349835	16097323	3763199	18834	0.918442	0.995249	0.766222	0.992	0.9921	33.2	1986999.9	0.937681	0.779341	0.606184	0.495935	0.409543	0.292607	0.21333	0.129614	0.08805	0.409543	False	
L11	GSM6573732	L	P11	tumour	DSP-1012300141221	5309815	5302525	5273955	4856287	1547223	18834	0.914587	0.998627	0.681398	0.9927	0.9925	23.26	1825791.17	0.964534	0.899914	0.806248	0.705253	0.613566	0.467155	0.368033	0.244838	0.166952	0.613566	False	
L12	GSM6573735	L	P12	tumour	DSP-1012300141221	17804673	17776714	17682973	16727766	6282182	18834	0.939515	0.99843	0.624446	0.9932	0.9931	23.41	2162540.71	0.9219	0.776185	0.635124	0.545309	0.486092	0.398952	0.333262	0.242645	0.184979	0.486092	False	
L13	GSM6573738	L	P13	tumour	DSP-1012300141221	12469203	12411066	12347347	11559632	3893471	18834	0.927055	0.995338	0.663184	0.9929	0.9925	28.86	2009706.23	0.882904	0.706216	0.57029	0.486894	0.426233	0.332192	0.266289	0.181609	0.131486	0.426233	False	
L14	GSM6573743	L	P14	tumour	DSP-1012300141221	6804684	6774778	6741196	6145497	1834719	18834	0.903127	0.995605	0.701453	0.9923	0.9921	48.58	1890780.93	0.813095	0.57259	0.398256	0.284851	0.217128	0.12849	0.087782	0.050497	0.033433	0.217128	False	
L15	GSM6573745	L	P15	tumour	DSP-1012300141221	32701235	32550276	32353264	29785903	6196485	18834	0.910849	0.995384	0.791966	0.9924	0.9921	33.38	2031563.39	0.926714	0.759762	0.583663	0.470418	0.389483	0.285011	0.216487	0.135338	0.092222	0.389483	False	
