signature	method	model	formula	term	estimate	std_error	df	ci_low	ci_high	t_value	p_raw	is_singular	n_obs	n_patient	n_lung	n_brain	df_method	warnings	messages	q_bh	delta_vs_primary
antigen_presentation	ssgsea	primary	score ~ site + (1|patient_id)	brain_vs_lung	-0.0237690225861798	0.0121154219789929	6.65462315808942	-0.0527216305774593	0.00518358540509975	-1.9618815281377	0.0927095785561285	FALSE	23	16	15	8	satterthwaite			0.111251494267354	NA
cytotoxicity	ssgsea	primary	score ~ site + (1|patient_id)	brain_vs_lung	-0.282215466273065	0.0656931214635929	20.9999999997058	-0.418831791172246	-0.145599141373884	-4.29596676159571	0.000320166167976528	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.00157478292557204	NA
exhaustion	ssgsea	primary	score ~ site + (1|patient_id)	brain_vs_lung	-0.179675801862375	0.0460989427584412	11.1799914673238	-0.280939949442633	-0.0784116542821161	-3.89761220347021	0.00241313578013969	FALSE	23	16	15	8	satterthwaite			0.00482627156027938	NA
myeloid_m1	ssgsea	primary	score ~ site + (1|patient_id)	brain_vs_lung	-0.0813298414685882	0.0334983306279223	10.6456050902694	-0.155359739222192	-0.00729994371498439	-2.42787744774351	0.0342126119392709	FALSE	23	16	15	8	satterthwaite			0.0513189179089063	NA
myeloid_m2	ssgsea	primary	score ~ site + (1|patient_id)	brain_vs_lung	0.0108302852711625	0.0495505881595208	20.9999999999374	-0.0922158038797952	0.11387637442212	0.218570266740245	0.829094968536781	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.829094968536781	NA
tls	ssgsea	primary	score ~ site + (1|patient_id)	brain_vs_lung	-0.3718734045341	0.0909396827653557	20.9999999998605	-0.560992827848154	-0.182753981220047	-4.08923138091008	0.000524927641857345	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.00157478292557204	NA
antigen_presentation	ssgsea	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.0234826498974131	0.0121438257056923	6.60392671449463	-0.052551078159704	0.00558577836487775	-1.93371104514501	0.096896199216981	FALSE	23	16	15	8	satterthwaite			0.116275439060377	0.000286372688766679
cytotoxicity	ssgsea	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.286852132377026	0.067733988670436	20.0000000002673	-0.428142756880955	-0.145561507873097	-4.23498066491733	0.000406111868140965	TRUE	23	16	15	8	satterthwaite		boundary (singular) fit: see help('isSingular')	0.00243667120884579	-0.00463666610396102
exhaustion	ssgsea	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.187121548572597	0.0476491547271304	10.2547561046472	-0.292934052439417	-0.0813090447057762	-3.92706963311678	0.00270050761280591	FALSE	23	16	15	8	satterthwaite			0.00540101522561181	-0.00744574671022194
myeloid_m1	ssgsea	sensitivity	score ~ site + dsp_run + (1|patient_id)	brain_vs_lung	-0.0820282051885147	0.0341117532813882	10.109216167089	-0.157922770966391	-0.0061336394106379	-2.40469038667884	0.0367695420357728	FALSE	23	16	15	8	satterthwaite			0.0551543130536591	-0.000698363719926473
