signature	arm	method	group	time_months	survival
antigen_presentation	brain	ssgsea	high	8	0.66666666666666674
antigen_presentation	brain	ssgsea	high	22	0.33333333333333337
antigen_presentation	brain	ssgsea	high	24	0
antigen_presentation	brain	ssgsea	low	2	0.75
antigen_presentation	brain	ssgsea	low	15	0.5
antigen_presentation	brain	ssgsea	low	33	0.25
antigen_presentation	brain	ssgsea	low	100	0
antigen_presentation	brain	zscore	high	2	0.66666666666666674
antigen_presentation	brain	zscore	high	8	0.33333333333333337
antigen_presentation	brain	zscore	high	24	0
antigen_presentation	brain	zscore	low	15	0.75
antigen_presentation	brain	zscore	low	22	0.5
antigen_presentation	brain	zscore	low	33	0.25
antigen_presentation	brain	zscore	low	100	0
antigen_presentation	lung	ssgsea	high	13	0.83333333333333337
antigen_presentation	lung	ssgsea	high	15	0.5
antigen_presentation	lung	ssgsea	high	33	0.33333333333333337
antigen_presentation	lung	ssgsea	high	38	0.16666666666666669
antigen_presentation	lung	ssgsea	high	115	0
antigen_presentation	lung	ssgsea	low	15	0.83333333333333337
antigen_presentation	lung	ssgsea	low	37	0.66666666666666674
antigen_presentation	lung	ssgsea	low	43	0.5
antigen_presentation	lung	ssgsea	low	85	0.33333333333333337
antigen_presentation	lung	ssgsea	low	115	0.16666666666666669
antigen_presentation	lung	ssgsea	low	143	0
antigen_presentation	lung	zscore	high	13	0.83333333333333337
antigen_presentation	lung	zscore	high	15	0.5
antigen_presentation	lung	zscore	high	38	0.33333333333333337
antigen_presentation	lung	zscore	high	115	0
antigen_presentation	lung	zscore	low	15	0.83333333333333337
antigen_presentation	lung	zscore	low	33	0.66666666666666674
antigen_presentation	lung	zscore	low	37	0.5
antigen_presentation	lung	zscore	low	43	0.33333333333333337
antigen_presentation	lung	zscore	low	85	0.16666666666666669
antigen_presentation	lung	zscore	low	143	0
cytotoxicity	brain	ssgsea	high	8	0.66666666666666674
cytotoxicity	brain	ssgsea	high	24	0.33333333333333337
cytotoxicity	brain	ssgsea	high	33	0
cytotoxicity	brain	ssgsea	low	2	0.75
cytotoxicity	brain	ssgsea	low	15	0.5
cytotoxicity	brain	ssgsea	low	22	0.25
cytotoxicity	brain	ssgsea	low	100	0
cytotoxicity	brain	zscore	high	8	0.66666666666666674
cytotoxicity	brain	zscore	high	22	0.33333333333333337
cytotoxicity	brain	zscore	high	33	0
cytotoxicity	brain	zscore	low	2	0.75
cytotoxicity	brain	zscore	low	15	0.5
cytotoxicity	brain	zscore	low	24	0.25
cytotoxicity	brain	zscore	low	100	0
cytotoxicity	lung	ssgsea	high	15	0.66666666666666674
cytotoxicity	lung	ssgsea	high	37	0.5
cytotoxicity	lung	ssgsea	high	38	0.33333333333333337
cytotoxicity	lung	ssgsea	high	43	0.16666666666666669
cytotoxicity	lung	ssgsea	high	85	0
cytotoxicity	lung	ssgsea	low	13	0.83333333333333337
cytotoxicity	lung	ssgsea	low	15	0.66666666666666674
cytotoxicity	lung	ssgsea	low	33	0.5
cytotoxicity	lung	ssgsea	low	115	0.16666666666666669
cytotoxicity	lung	ssgsea	low	143	0
cytotoxicity	lung	zscore	high	15	0.66666666666666674
cytotoxicity	lung	zscore	high	33	0.5
cytotoxicity	lung	zscore	high	37	0.33333333333333337
cytotoxicity	lung	zscore	high	38	0.16666666666666669
cytotoxicity	lung	zscore	high	43	0
cytotoxicity	lung	zscore	low	13	0.83333333333333337
cytotoxicity	lung	zscore	low	15	0.66666666666666674
cytotoxicity	lung	zscore	low	85	0.5
cytotoxicity	lung	zscore	low	115	0.16666666666666669
cytotoxicity	lung	zscore	low	143	0
exhaustion	lung	ssgsea	high	13	0.83333333333333337
exhaustion	lung	ssgsea	high	15	0.5
exhaustion	lung	ssgsea	high	33	0.33333333333333337
exhaustion	lung	ssgsea	high	38	0.16666666666666669
exhaustion	lung	ssgsea	high	115	0
exhaustion	lung	ssgsea	low	15	0.83333333333333337
exhaustion	lung	ssgsea	low	37	0.66666666666666674
exhaustion	lung	ssgsea	low	43	0.5
exhaustion	lung	ssgsea	low	85	0.33333333333333337
exhaustion	lung	ssgsea	low	115	0.16666666666666669
exhaustion	lung	ssgsea	low	143	0
exhaustion	lung	zscore	high	13	0.83333333333333337
exhaustion	lung	zscore	high	15	0.66666666666666674
exhaustion	lung	zscore	high	33	0.5
exhaustion	lung	zscore	high	43	0.33333333333333337
exhaustion	lung	zscore	high	85	0.16666666666666669
exhaustion	lung	zscore	high	115	0
exhaustion	lung	zscore	low	15	0.66666666666666674
exhaustion	lung	zscore	low	37	0.5
exhaustion	lung	zscore	low	38	0.33333333333333337
exhaustion	lung	zscore	low	115	0.16666666666666669
exhaustion	lung	zscore	low	143	0
myeloid_m2	brain	ssgsea	high	8	0.66666666666666674
myeloid_m2	brain	ssgsea	high	24	0.33333333333333337
myeloid_m2	brain	ssgsea	high	33	0
myeloid_m2	brain	ssgsea	low	2	0.75
myeloid_m2	brain	ssgsea	low	15	0.5
myeloid_m2	brain	ssgsea	low	22	0.25
myeloid_m2	brain	ssgsea	low	100	0
myeloid_m2	brain	zscore	high	8	0.66666666666666674
myeloid_m2	brain	zscore	high	24	0.33333333333333337
myeloid_m2	brain	zscore	high	33	0
myeloid_m2	brain	zscore	low	2	0.75
myeloid_m2	brain	zscore	low	15	0.5
myeloid_m2	brain	zscore	low	22	0.25
myeloid_m2	brain	zscore	low	100	0
myeloid_m2	lung	ssgsea	high	13	0.83333333333333337
myeloid_m2	lung	ssgsea	high	15	0.5
myeloid_m2	lung	ssgsea	high	33	0.33333333333333337
myeloid_m2	lung	ssgsea	high	115	0
myeloid_m2	lung	ssgsea	low	15	0.83333333333333337
myeloid_m2	lung	ssgsea	low	37	0.66666666666666674
myeloid_m2	lung	ssgsea	low	38	0.5
myeloid_m2	lung	ssgsea	low	43	0.33333333333333337
myeloid_m2	lung	ssgsea	low	85	0.16666666666666669
myeloid_m2	lung	ssgsea	low	143	0
myeloid_m2	lung	zscore	high	13	0.83333333333333337
myeloid_m2	lung	zscore	high	15	0.5
myeloid_m2	lung	zscore	high	33	0.33333333333333337
myeloid_m2	lung	zscore	high	85	0.16666666666666669
myeloid_m2	lung	zscore	high	115	0
myeloid_m2	lung	zscore	low	15	0.83333333333333337
myeloid_m2	lung	zscore	low	37	0.66666666666666674
myeloid_m2	lung	zscore	low	38	0.5
myeloid_m2	lung	zscore	low	43	0.33333333333333337
myeloid_m2	lung	zscore	low	115	0.16666666666666669
myeloid_m2	lung	zscore	low	143	0
tls	lung	ssgsea	high	13	0.83333333333333337
tls	lung	ssgsea	high	15	0.66666666666666674
tls	lung	ssgsea	high	33	0.5
