signature	arm	aoi_code	method	is_primary_method	split	test	n_cohort	n_in_fit	n_excluded	assessable	coverage	median_score	n_high	n_low	n_events_high	n_events_low	median_months_high	median_months_low	estimate	std_error	hazard_ratio	ci_low	ci_high	p_raw	p_raw_logrank	p_raw_cox	logrank_chisq	p_agreement_delta	wiring_residual	ci_excludes_one	significance_disagreement	status	note	table	fdr
antigen_presentation	brain	TIME-B	ssgsea	True	median	logrank	8	7	1	True	1	0.66634605356030807	3	4	3	4	22	24	0.68911100963875971	0.92046881981607975	1.9919439269381143	0.3279235667046343	12.099894642947479	0.44557489359018787	0.44557489359018787	0.45406685924790957	0.58188375850020613	0.0084919656577217006	0	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
antigen_presentation	brain	TIME-B	zscore	False	median	logrank	8	7	1	True	1	-0.15308809314256136	3	4	3	4	8	27.5	1.2510447628990515	0.9283342136226671	3.4939914438585067	0.56639879650602765	21.553676111362531	0.15309568045431643	0.15309568045431643	0.17777959118368958	2.041131990880213	0.024683910729373149	2.2204460492503131e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
antigen_presentation	lung	TIME-L	ssgsea	True	median	logrank	13	12	1	True	1	0.68965012264991887	6	6	6	6	24	64	0.78269651603321633	0.61817779151856533	2.1873625785307644	0.65121873718733114	7.3470782960294603	0.1597014319273321	0.1597014319273321	0.20546476658298429	1.9770509135543932	0.045763334655652188	3.3306690738754696e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
antigen_presentation	lung	TIME-L	zscore	False	median	logrank	13	12	1	True	1	0.45665489667113268	6	6	6	6	26.5	40	0.22585545248417693	0.6153877899527247	1.2533944771253389	0.37520510631959902	4.1870371400279636	0.69178527182410465	0.69178527182410465	0.71360915920381518	0.1571595037222781	0.021823887379710527	1.3877787807814457e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
cytotoxicity	brain	TIME-B	ssgsea	True	median	logrank	8	7	1	True	0.5	0.060893588204255049	3	4	3	4	24	18.5	0.0032679947284554559	0.82841605358923442	1.0032733404448995	0.19782002337227514	5.0882482899784076	0.99685245495785402	0.99685245495785402	0.9968524562453932	1.5562022440436249e-05	1.2875391863786945e-09	2.2854981795994433e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
cytotoxicity	brain	TIME-B	zscore	False	median	logrank	8	7	1	True	0.5	-0.6798681531845705	3	4	3	4	22	19.5	0.23012713831804621	0.82335791707802364	1.2587600363903653	0.25066830055733397	6.3210099788866785	0.7794115422103931	0.7794115422103931	0.77986244227304891	0.078448155122239543	0.00045090006265580129	1.1102230246251565e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
cytotoxicity	lung	TIME-L	ssgsea	True	median	logrank	13	12	1	True	0.5	0.35588143897232938	6	6	6	6	37.5	74	0.78754023511502069	0.72214273640719162	2.1979832493994604	0.53374690132284996	9.0513506545275142	0.247604904451004	0.247604904451004	0.27546638456166672	1.3367670876250028	0.027861480110662723	0	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
cytotoxicity	lung	TIME-L	zscore	False	median	logrank	13	12	1	True	0.5	0.23719266170538192	6	6	6	6	35	100	1.3867026382331633	0.84289272786151204	4.0016334418788686	0.76694763594308002	20.878961551883247	0.067226977939527102	0.067226977939527102	0.099934560396609723	3.349462099980999	0.032707582457082621	0	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
exhaustion	brain	TIME-B	ssgsea	True	median	logrank	8	7	1	True	0.16666666666666666	0.09551750532364181	3	4	3	4	8	23	0.69314718055994518	0.83787116021691843	1.9999999999999998	0.38710855664917487	10.33301881679945	0.39998294605235574	0.39998294605235574	0.40808302521635742	0.70837756994524226	0.0081000791640016834	1.1102230246251565e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
exhaustion	brain	TIME-B	zscore	False	median	logrank	8	7	1	True	0.16666666666666666	-0.65599916672001901	3	4	3	4	22	19.5	0.23012713831804621	0.82335791707802364	1.2587600363903653	0.25066830055733397	6.3210099788866785	0.7794115422103931	0.7794115422103931	0.77986244227304891	0.078448155122239543	0.00045090006265580129	1.1102230246251565e-16	False	False	modelled		exploratory	none — no claim may rest on this table (ADR 0018)
