cohort	stratum	signature	n_patients	n_events	hazard_ratio	ci_low	ci_high	p_raw	in_family	comparator	q_bh	survives_fdr
TCGA-LUAD	lung (bulk tumour)	antigen_presentation	502	182	0.70243462708425397	0.52299874994284357	0.94343324029152686	0.018306338891452143	True	paired across cohorts	0.25628874448033001	False
this study (GeoMx)	lung	tls	12	12	4.5064913702379732	0.87686828507941161	23.160222368163463	0.041552370514014655	True	paired across cohorts	0.29086659359810263	False
TCGA-LUAD	lung (bulk tumour)	exhaustion	502	182	0.7761048773509559	0.57830955901162129	1.0415507944869336	0.090366177665561043	True	paired across cohorts	0.37936980822384325	False
this study (GeoMx)	lung	antigen_presentation	12	12	2.1873625785307644	0.65121873718733114	7.3470782960294603	0.1597014319273321	True	paired across cohorts	0.37936980822384325	False
this study (GeoMx)	lung	exhaustion	12	12	2.1873625785307644	0.65121873718733114	7.3470782960294603	0.1597014319273321	True	paired across cohorts	0.37936980822384325	False
TCGA-LUAD	lung (bulk tumour)	tls	502	182	0.81192491858953131	0.60571409655837682	1.0883386686429599	0.16258706066736139	True	paired across cohorts	0.37936980822384325	False
this study (GeoMx)	lung	cytotoxicity	12	12	2.1979832493994604	0.53374690132284996	9.0513506545275142	0.247604904451004	True	paired across cohorts	0.495209808902008	False
TCGA-LUAD	lung (bulk tumour)	myeloid_m2	502	182	0.85991737365079157	0.64189585409062533	1.1519904433002859	0.31121097956320637	True	paired across cohorts	0.5167542698416806	False
TCGA-LUAD	lung (bulk tumour)	cytotoxicity	502	182	0.86581985588338439	0.64688410562780552	1.1588536745919729	0.33219917346965183	True	paired across cohorts	0.5167542698416806	False
this study (GeoMx)	brain	antigen_presentation	7	7	1.9919439269381143	0.3279235667046343	12.099894642947479	0.44557489359018787	True	paired across cohorts	0.62380485102626304	False
this study (GeoMx)	lung	myeloid_m2	12	12	1.41864556381	0.41943594587522259	4.7982421523702818	0.54162855840717206	True	paired across cohorts	0.68934543797276449	False
TCGA-LUAD	lung (bulk tumour)	myeloid_m1	502	182	0.95841083360467172	0.7141129009156898	1.2862830580332123	0.77715758289471049	True	TCGA-only — not assessable in GeoMx	0.90668384671049562	False
this study (GeoMx)	brain	cytotoxicity	7	7	1.0032733404448995	0.19782002337227514	5.0882482899784076	0.99685245495785402	True	paired across cohorts	0.99685245495785402	False
this study (GeoMx)	brain	myeloid_m2	7	7	1.0032733404448995	0.19782002337227514	5.0882482899784076	0.99685245495785402	True	paired across cohorts	0.99685245495785402	False
