cohort	signature	method	group	time_months	survival
TCGA-LUAD	antigen_presentation	ssgsea	high	0.49281314168377821	1
TCGA-LUAD	antigen_presentation	ssgsea	high	0.62422997946611913	0.996
TCGA-LUAD	antigen_presentation	ssgsea	high	0.7885010266940452	0.996
TCGA-LUAD	antigen_presentation	ssgsea	high	0.91991786447638602	0.996
TCGA-LUAD	antigen_presentation	ssgsea	high	1.0841889117043122	0.9919676113360324
TCGA-LUAD	antigen_presentation	ssgsea	high	1.4455852156057496	0.9919676113360324
TCGA-LUAD	antigen_presentation	ssgsea	high	1.6427104722792607	0.9919676113360324
TCGA-LUAD	antigen_presentation	ssgsea	high	1.9712525667351128	0.9919676113360324
TCGA-LUAD	antigen_presentation	ssgsea	high	2.431211498973306	0.98788544009596646
TCGA-LUAD	antigen_presentation	ssgsea	high	2.5954825462012319	0.98788544009596646
TCGA-LUAD	antigen_presentation	ssgsea	high	2.7597535934291582	0.98788544009596646
TCGA-LUAD	antigen_presentation	ssgsea	high	2.8583162217659139	0.98375202821271979
TCGA-LUAD	antigen_presentation	ssgsea	high	3.9753593429158109	0.97961861632947311
TCGA-LUAD	antigen_presentation	ssgsea	high	4.2381930184804926	0.97961861632947311
TCGA-LUAD	antigen_presentation	ssgsea	high	4.3696098562628336	0.97961861632947311
TCGA-LUAD	antigen_presentation	ssgsea	high	4.4024640657084193	0.97961861632947311
TCGA-LUAD	antigen_presentation	ssgsea	high	4.5667351129363452	0.97543221198618479
TCGA-LUAD	antigen_presentation	ssgsea	high	4.6324435318275157	0.97543221198618479
TCGA-LUAD	antigen_presentation	ssgsea	high	4.9609856262833674	0.97543221198618479
TCGA-LUAD	antigen_presentation	ssgsea	high	5.0595482546201236	0.97120956171784634
TCGA-LUAD	antigen_presentation	ssgsea	high	5.3880903490759753	0.96698691144950788
TCGA-LUAD	antigen_presentation	ssgsea	high	5.420944558521561	0.96698691144950788
TCGA-LUAD	antigen_presentation	ssgsea	high	5.6180698151950716	0.96274574078525565
TCGA-LUAD	antigen_presentation	ssgsea	high	5.7823408624229984	0.95850457012100343
TCGA-LUAD	antigen_presentation	ssgsea	high	5.8809034907597537	0.95850457012100343
TCGA-LUAD	antigen_presentation	ssgsea	high	5.979466119096509	0.95850457012100343
TCGA-LUAD	antigen_presentation	ssgsea	high	6.0451745379876796	0.95850457012100343
TCGA-LUAD	antigen_presentation	ssgsea	high	6.1108829568788501	0.95850457012100343
TCGA-LUAD	antigen_presentation	ssgsea	high	7.3593429158110881	0.95850457012100343
TCGA-LUAD	antigen_presentation	ssgsea	high	7.3921971252566738	0.95850457012100343
TCGA-LUAD	antigen_presentation	ssgsea	high	7.786447638603696	0.95414773116590801
TCGA-LUAD	antigen_presentation	ssgsea	high	7.9835728952772076	0.94979089221081259
TCGA-LUAD	antigen_presentation	ssgsea	high	8.4106776180698155	0.94979089221081259
TCGA-LUAD	antigen_presentation	ssgsea	high	8.8049281314168386	0.94541397565684571
TCGA-LUAD	antigen_presentation	ssgsea	high	10.086242299794661	0.94541397565684571
TCGA-LUAD	antigen_presentation	ssgsea	high	10.546201232032855	0.93661942704608436
TCGA-LUAD	antigen_presentation	ssgsea	high	10.611909650924025	0.93661942704608436
TCGA-LUAD	antigen_presentation	ssgsea	high	11.137577002053389	0.93220141088077257
TCGA-LUAD	antigen_presentation	ssgsea	high	11.53182751540041	0.93220141088077257
TCGA-LUAD	antigen_presentation	ssgsea	high	11.597535934291582	0.93220141088077257
TCGA-LUAD	antigen_presentation	ssgsea	high	11.991786447638603	0.93220141088077257
TCGA-LUAD	antigen_presentation	ssgsea	high	12.386036960985626	0.93220141088077257
TCGA-LUAD	antigen_presentation	ssgsea	high	12.648870636550308	0.93220141088077257
TCGA-LUAD	antigen_presentation	ssgsea	high	13.437371663244353	0.92767616131339015
TCGA-LUAD	antigen_presentation	ssgsea	high	13.503080082135524	0.92767616131339015
TCGA-LUAD	antigen_presentation	ssgsea	high	13.60164271047228	0.92310632800642767
TCGA-LUAD	antigen_presentation	ssgsea	high	13.634496919917865	0.92310632800642767
TCGA-LUAD	antigen_presentation	ssgsea	high	13.66735112936345	0.92310632800642767
TCGA-LUAD	antigen_presentation	ssgsea	high	13.86447638603696	0.92310632800642767
TCGA-LUAD	antigen_presentation	ssgsea	high	13.897330595482547	0.92310632800642767
TCGA-LUAD	antigen_presentation	ssgsea	high	14.028747433264886	0.92310632800642767
TCGA-LUAD	antigen_presentation	ssgsea	high	14.061601642710473	0.91839660184312966
TCGA-LUAD	antigen_presentation	ssgsea	high	14.094455852156058	0.91368687567983153
TCGA-LUAD	antigen_presentation	ssgsea	high	14.258726899383984	0.90897714951653341
TCGA-LUAD	antigen_presentation	ssgsea	high	14.291581108829568	0.90897714951653341
TCGA-LUAD	antigen_presentation	ssgsea	high	14.521560574948666	0.90424289352946807
TCGA-LUAD	antigen_presentation	ssgsea	high	14.718685831622176	0.90424289352946807
TCGA-LUAD	antigen_presentation	ssgsea	high	15.014373716632443	0.89945853959544964
TCGA-LUAD	antigen_presentation	ssgsea	high	15.112936344969199	0.89464860088103548
TCGA-LUAD	antigen_presentation	ssgsea	high	15.24435318275154	0.88983866216662133
TCGA-LUAD	antigen_presentation	ssgsea	high	15.31006160164271	0.88983866216662133
TCGA-LUAD	antigen_presentation	ssgsea	high	15.375770020533881	0.88500258248093311
TCGA-LUAD	antigen_presentation	ssgsea	high	15.408624229979466	0.880166502795245
TCGA-LUAD	antigen_presentation	ssgsea	high	15.638603696098563	0.880166502795245
TCGA-LUAD	antigen_presentation	ssgsea	high	15.671457905544148	0.880166502795245
TCGA-LUAD	antigen_presentation	ssgsea	high	15.704312114989733	0.880166502795245
TCGA-LUAD	antigen_presentation	ssgsea	high	15.901437371663244	0.880166502795245
