cohort	signature	method	is_primary_method	split	test	n_patients	n_events	median_score	n_high	n_low	n_events_high	n_events_low	estimate	std_error	hazard_ratio	ci_low	ci_high	p_raw	p_raw_logrank	p_raw_cox	logrank_chisq	p_agreement_delta	wiring_residual	ci_excludes_one	significance_disagreement	continuous_hr_per_unit	continuous_ci_low	continuous_ci_high	continuous_p_raw	continuous_ci_excludes_one	split_vs_continuous_disagreement	status	geomx_comparator	note
TCGA-LUAD	antigen_presentation	ssgsea	True	median	logrank	502	182	0.5311153376456208	251	251	76	106	-0.35320293963566807	0.15049932946613365	0.70243462708425397	0.52299874994284357	0.94343324029152686	0.018306338891452143	0.018306338891452143	0.018931663654969857	5.5665937661284426	0.00062532476351771435	4.9960036108132044e-16	True	False	0.11998575732458669	0.0097758406500541503	1.4726694589354681	0.097437797153291428	False	True	modelled	GeoMx lung arm (P5-T3)	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
TCGA-LUAD	antigen_presentation	zscore	False	median	logrank	502	182	0.094298870944892338	251	251	82	100	-0.3273414830282193	0.14915722775166895	0.72083754720467841	0.53811430559557138	0.965606682552268	0.027475788344259643	0.027475788344259643	0.02819180729128036	4.860662202606389	0.00071601894702071761	1.3322676295501878e-15	True	False	0.87658646602703916	0.74343977913918013	1.0335791196315847	0.11710496246708034	False	True	modelled	GeoMx lung arm (P5-T3)	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
TCGA-LUAD	cytotoxicity	ssgsea	True	median	logrank	502	182	-0.036060570795700471	251	251	85	97	-0.14407841066898461	0.14873217973648553	0.86581985588338439	0.64688410562780552	1.1588536745919729	0.33219917346965183	0.33219917346965183	0.33268969761733436	0.9403059426039776	0.00049052414768252506	1.5265566588595902e-15	False	False	0.94305526044385102	0.32719534358379132	2.7181108829657457	0.91355495142961585	False	False	modelled	GeoMx lung arm (P5-T3)	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
TCGA-LUAD	cytotoxicity	zscore	False	median	logrank	502	182	-0.07244495426791242	251	251	84	98	-0.14150776140377819	0.14878728790627363	0.86804843828431777	0.64847911096349842	1.161962009984091	0.34109059027388394	0.34109059027388394	0.3415666745300886	0.90632799627548055	0.00047608425620465633	1.3322676295501878e-15	False	False	0.94812896649244327	0.80137191874598224	1.1217619635446396	0.5347315480506365	False	False	modelled	GeoMx lung arm (P5-T3)	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
TCGA-LUAD	exhaustion	ssgsea	True	median	logrank	502	182	-0.03433113458011193	251	251	78	104	-0.25346761670556378	0.15009376196011254	0.7761048773509559	0.57830955901162129	1.0415507944869336	0.090366177665561043	0.090366177665561043	0.091271467253056876	2.8678381989284261	0.00090528958749583333	1.5543122344752192e-15	False	False	0.17391435916672232	0.029231633957445022	1.0347079594799133	0.054547278861830285	False	False	modelled	GeoMx lung arm (P5-T3)	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
TCGA-LUAD	exhaustion	zscore	False	median	logrank	502	182	0.056706502896616939	251	251	77	105	-0.32508291678228624	0.1502442433547368	0.72246744648248318	0.53818321813469849	0.96985411963604151	0.029742960887712999	0.029742960887712999	0.030487663459127311	4.7240875019549087	0.00074470257141431156	1.9428902930940239e-15	True	False	0.82885754127178801	0.69194325381921307	0.9928629550633794	0.041577888271660403	True	False	modelled	GeoMx lung arm (P5-T3)	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
TCGA-LUAD	myeloid_m1	ssgsea	True	median	logrank	502	182	0.021409339849836007	251	251	83	99	-0.042478747840232742	0.15012288954888933	0.95841083360467172	0.7141129009156898	1.2862830580332123	0.77715758289471049	0.77715758289471049	0.77720762736327731	0.080103217122357212	5.0044468566823319e-05	7.6327832942979512e-17	False	False	0.65751641968222418	0.14690293415996769	2.9429489929789554	0.58346365357869834	False	False	modelled	none — not assessable in the GeoMx lung arm	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
TCGA-LUAD	myeloid_m1	zscore	False	median	logrank	502	182	0.011537241816704595	251	251	75	107	-0.27047254037175772	0.15119544869455645	0.76301885192256802	0.56733224636765667	1.0262024979485191	0.072730686928603586	0.072730686928603586	0.073631984827491462	3.2202912802889574	0.00090129789888787615	1.1657341758564144e-15	False	False	0.85028024390952728	0.68921577312530968	1.0489842533702394	0.13011331052153977	False	False	modelled	none — not assessable in the GeoMx lung arm	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
TCGA-LUAD	myeloid_m2	ssgsea	True	median	logrank	502	182	0.23647408175077517	251	251	83	99	-0.15091897150053107	0.14919163836684537	0.85991737365079157	0.64189585409062533	1.1519904433002859	0.31121097956320637	0.31121097956320637	0.3117398937834307	1.0255294904538304	0.00052891422022433021	1.3877787807814457e-16	False	False	0.41667267710226435	0.12959335205134087	1.3396992754287775	0.14178296011325761	False	False	modelled	GeoMx lung arm (P5-T3)	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
TCGA-LUAD	myeloid_m2	zscore	False	median	logrank	502	182	0.10570858980297684	251	251	77	105	-0.34815926168565436	0.15030585670294655	0.70598643067149092	0.52584261213664274	0.94784414345400325	0.019895511732411289	0.019895511732411289	0.020539786889485621	5.421039475269481	0.00064427515707433242	3.1086244689504383e-15	True	False	0.86622828693232223	0.7281673163206358	1.0304657024063701	0.10498063237552324	False	True	modelled	GeoMx lung arm (P5-T3)	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
TCGA-LUAD	tls	ssgsea	True	median	logrank	502	182	0.064005273772455185	251	251	80	102	-0.20834740788680908	0.14949243278015834	0.81192491858953131	0.60571409655837682	1.0883386686429599	0.16258706066736139	0.16258706066736139	0.1634086116807143	1.9499980517650815	0.00082155101335290581	1.7763568394002505e-15	False	False	0.37813775600293958	0.16101075923761718	0.88806588573325684	0.025583618745279996	True	True	modelled	GeoMx lung arm (P5-T3)	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
TCGA-LUAD	tls	zscore	False	median	logrank	502	182	0.037842569107787861	251	251	75	107	-0.38844454356722302	0.15074923057937259	0.67811082644462806	0.50464119549738407	0.9112103749044802	0.009506158281682232	0.009506158281682232	0.0099731253635800179	6.7251716314231347	0.00046696708189778585	1.9428902930940239e-15	True	False	0.78972608895040852	0.66252109239661994	0.94135462663209601	0.0084289846817588495	True	False	modelled	GeoMx lung arm (P5-T3)	raw uncorrected p; P5-T5 corrects once over 14 (ADR 0026)
