aoi_label	UMAP1	UMAP2
L01	2.6066768	7.4833293
L02	5.6041527	5.4707079
L04	3.1894686	6.5836444
L05	4.9986548	5.7146482
L07	4.1509137	6.8360229
L09	4.2299867	7.4944024
L11	7.4416494	7.7702045
L12	6.132194	5.4007521
L13	7.7925344	5.0187817
L14	5.6019773	9.163559
L15	7.0764356	8.630517
L16	6.1369066	8.5020866
L17	7.763835	5.8727808
L19	5.6613641	7.1728468
L20	7.983027	7.1463037
L03	4.8451204	8.0863647
L22	7.3984623	7.091948
L21	7.2490625	5.3747449
L18	7.5370326	8.2901993
L24	5.2129898	9.4701395
L26	4.6575441	7.8174844
L40	6.5517917	8.04599
L29	6.1884785	9.8167152
L34	8.1598597	7.3688755
L32	5.6269941	8.0617714
L43	6.4159722	9.4165125
L30	5.8253984	9.6571989
L35	6.9171443	9.374402
L37	8.0842619	8.2050791
L44	5.3589983	6.4051838
TIME-L05	7.3975663	12.629694
TIME-L12a	8.4254646	13.405797
TIME-L15	7.33007	12.953282
TIME-L19	8.104969	12.659892
TIME-L12b	6.8751421	11.956081
TIME-L18	6.5018196	11.046484
TIME-L24a	7.585938	13.634158
TIME-L24b	7.8726873	13.384026
TIME-L26	8.4588556	13.111058
TIME-L29	7.9541006	12.848025
TIME-L32	7.7000604	13.26663
TIME-L43	6.5171213	12.265381
TIME-L30	7.5702591	12.411278
TIME-L35	5.8663764	11.427641
TIME-L40	6.3473997	11.74297
mLN01	2.971293	7.3705263
mLN02	5.5723953	5.7620602
mLN03	5.0786266	8.6035576
mLN04	2.4694953	6.8411622
mLN05	5.1203117	5.8694758
mLN06	8.3996611	5.3814545
mLN07	4.7219148	7.0600739
mLN09	4.1862879	8.0390081
mLN10	3.6363361	6.6260586
mLN11	7.8744378	7.7669759
mLN12	6.4479284	5.9497824
mLN14	5.2040892	9.0344715
mLN20	6.6024342	12.711277
LB01	2.8881109	7.5175552
LB02	5.6146035	5.315712
LB04	2.9502797	6.7180386
LB05	5.3013411	5.4564781
LB06	7.5241957	4.9495792
LB07	3.8582392	6.366262
LB08	7.177412	7.3419614
LB09	3.9542229	7.5289483
LB10	3.6697552	6.941638
LB13	8.0198326	4.8507252
LB14	4.7771697	8.8318443
LB16	5.3281603	7.7729626
LB17	8.1560993	5.669405
LB19	6.1211019	7.3207188
LB20	8.0694294	8.8686638
LB15	7.1791563	7.9743781
LB03	5.5392866	8.7203655
LB21	6.9043212	5.0237131
LB18	7.8861547	8.5050144
LB24	5.3829894	10.640123
LB12	6.851665	5.9063745
LB34	7.6772571	6.8756266
LB31	6.5902987	7.3117967
LB35	6.770803	8.3497658
LB37	8.486536	8.4286346
LB40	4.7831478	11.111925
LB44	5.0846	6.4773607
TBME01	2.4543669	12.172203
TBME02	2.871146	12.432526
TBME03	5.1402397	12.23686
TBME04	1.6459661	11.642976
TBME05	1.8058717	12.327294
TBME06	5.1198268	13.029222
TBME07	6.1593575	13.477561
TBME09	5.7114859	13.328417
TBME10	4.0122094	12.872862
TBME13	2.8480797	11.283844
TBME15a	5.2701793	12.724813
TBME16	2.260814	11.784443
TBME17	2.0409677	11.412344
TBME18	1.2693433	11.98912
TBME20	2.300662	11.503337
TBME11	6.5936003	11.60516
TBME15b	6.0548043	12.249175
TBME22	4.8416963	12.022584
TBME19	2.890595	11.89372
TBME27	1.4519794	11.735664
TIME-B05	6.9143128	12.763257
TIME-B14	8.0629864	13.760217
TIME-B20	4.3903508	12.691969
TIME-B15	6.5290842	13.423974
TIME-B19	3.2612309	12.486886
TIME-B12	6.0610619	13.252636
TIME-B31	3.7135496	12.449493
TIME-B35	5.5891271	12.069756
BC03	-0.92751527	9.9012423
BC04	-1.3503594	9.5089321
BC06	-0.99842733	9.6266174
BC07	-1.2462926	9.1848879
BC08	0.98674774	11.428812
BC09	-1.5226585	9.9342508
BC10	-1.2489136	9.6385098
