gene	var_patient	var_site	var_compartment	var_dsp_run	var_residual	highly_variable	converged	method	mean_log2	detected_in_n_aoi
A1BG	0.013525369	8.7132655e-11	0.21451571	0.025654585	0.74630434	False	True	powell	4.9553314	1
A1CF	0.074180434	0.033544972	0.10592297	0.13586167	0.65048996	False	True	lbfgs	5.5609677	4
A2M	0.060420132	0.025405091	0.62152658	4.5898938e-05	0.2926023	True	True	lbfgs	7.505387	96
A2ML1	0.23004443	0.0047004961	0.097163226	0.11239089	0.55570096	True	True	lbfgs	5.6242874	7
A3GALT2	0.20929404	0.0016496158	0.18031221	0.23862965	0.37011449	False	True	lbfgs	5.0384393	0
A4GALT	0.15515674	0.060621727	0.024960225	8.4629329e-11	0.75926131	False	True	powell	6.171013	48
A4GNT	0.1068464	0.018176537	0.096454517	0.33159102	0.44693153	False	True	lbfgs	5.3826034	1
AAAS	0.00058502003	0.047539828	0.11137474	0.0043574888	0.83614292	False	True	lbfgs	6.1739234	63
AACS	0.50971319	0.0079430238	0.032368425	0.083269943	0.36670542	False	True	lbfgs	6.3847061	71
AADAC	0.25548469	6.1737257e-11	0.062163123	0.088124239	0.59422795	True	True	powell	5.5248018	9
AADACL2	0.10370912	0.0068522098	0.10340265	0.32497631	0.4610597	False	True	powell	5.3744397	1
AADACL3	0.081802521	6.1818224e-11	0.27084065	0.088678522	0.5586783	False	True	powell	5.3747893	0
AADACL4	0.00040289584	0.0030580787	0.11751691	0.41576465	0.46325746	False	True	lbfgs	5.4789734	3
AADAT	0.18900843	8.1748787e-09	0.21485476	0.085158624	0.51097818	False	True	powell	5.2607095	4
AAGAB	0.32745614	5.6571783e-11	0.11163553	5.9992429e-11	0.56090832	False	True	powell	6.6713325	92
AAK1	0.24015144	0.086959241	0.28677745	0.013903066	0.3722088	False	True	lbfgs	6.5924751	93
AAMDC	0.2584745	0.048856269	0.011806351	0.0018376674	0.67902521	False	True	lbfgs	5.7284851	17
AAMP	0.12433392	6.0335721e-11	0.27118978	0.02952738	0.57494892	False	True	powell	7.7147192	118
AANAT	0.23777248	5.9343422e-11	0.20319381	0.080633245	0.47840046	False	True	powell	5.6281018	6
AAR2	0.3229867	0.075317577	0.011181887	0.12822824	0.46228559	False	True	lbfgs	6.2807667	73
AARD	0.08409985	0.015161148	0.1631848	0.27195134	0.46560286	False	True	lbfgs	5.3843019	1
AARS1	0.1313123	0.014861542	0.25163741	7.9773686e-11	0.60218876	False	True	powell	7.2218578	108
AARS2	0.00029117722	0.043117243	0.094203031	0.1215438	0.74084475	False	True	lbfgs	6.0046722	40
AARSD1	0.20104174	0.04185826	0.018243046	0.00022053863	0.73863642	False	True	lbfgs	6.5194406	85
AASDH	0.018356567	5.3540579e-11	0.30578366	0.14147725	0.53438252	False	True	powell	4.8039708	0
AASDHPPT	0.089195532	3.8286861e-11	0.56064291	3.5866798e-11	0.35016156	False	True	powell	6.4219119	79
AASS	0.27264148	0.020210103	0.13459454	0.088570196	0.48398368	False	True	lbfgs	5.9163319	25
AATF	0.19196708	0.01981345	0.29890487	0.18531624	0.30399836	False	True	powell	6.1805011	58
AATK	0.02866868	2.6368792e-11	0.75375357	2.2100528e-11	0.21757775	True	True	powell	5.4916551	12
ABAT	0.074810906	0.0013667494	0.62153434	0.07372686	0.22856115	True	True	lbfgs	5.6548671	17
ABCA1	0.19572572	0.013017992	0.37073538	1.1996418e-08	0.4205209	False	True	powell	6.3345988	67
ABCA10	0.065966557	0.0095216224	0.4191932	0.14380596	0.36151266	False	True	lbfgs	5.570576	6
ABCA12	0.17928444	5.9727116e-11	0.0971987	0.13055955	0.59295731	True	True	powell	5.7086601	18
ABCA13	0.14635997	0.00043039306	0.1083941	0.28289585	0.46191969	False	True	lbfgs	5.7102054	10
ABCA2	0.043919816	0.013524284	0.74584863	0.00085498397	0.19585229	True	True	lbfgs	6.0407437	37
ABCA3	0.20118056	0.03027278	0.19277886	0.012757617	0.56301018	True	True	lbfgs	6.3990119	49
ABCA4	0.066381187	0.032642956	0.27160672	0.14348574	0.4858834	False	True	lbfgs	5.4125645	1
ABCA5	0.26938308	4.5409534e-11	0.24188942	0.0353165	0.453411	False	True	powell	5.9632008	26
ABCA6	0.15373982	0.0080885394	0.47629436	0.039243113	0.32263416	False	True	lbfgs	5.3414122	7
ABCA7	0.32350361	0.041906632	0.054332569	0.00039586656	0.57986132	False	True	lbfgs	5.8880884	33
ABCA8	0.16248784	0.039543218	0.35654543	0.11342911	0.3279944	False	True	lbfgs	5.7157406	13
ABCA9	0.11002936	2.7352465e-05	0.40250095	0.097367217	0.39007513	False	True	lbfgs	5.5797365	9
ABCB1	0.086802225	0.039593007	0.50045651	0.08939687	0.28375139	False	True	lbfgs	5.6513221	7
ABCB10	0.2758398	5.4454751e-11	0.16481673	0.017764365	0.5415791	False	True	powell	6.5373793	85
ABCB11	0.12869765	1.155393e-09	0.19959675	0.1681754	0.50353019	False	True	powell	5.6009866	0
ABCB4	0.00077871093	0.011318513	0.22750525	0.13047176	0.62992577	False	True	lbfgs	5.0553094	0
